Synced to SGD on Sat Jul  8 00:51:42 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	mutation	alpha library plate	alpha library row	alpha library column	notes	
[DPI-1]	6	4	YBR073W	RDH54	DNA-dependent ATPase RDH54|TID1	DNA-dependent ATPase; DNA recombination/repair translocase, supercoils DNA and promotes DNA strand opening; stimulates strand exchange by modifying dsDNA topology; involved in recombinational repair of DNA double-strand breaks (DSBs) during mitosis and meiosis; phosphorylated in Mec1p-, Rad53p-dependent way in response to one DSB; contributes to remodelling of nucleosomes; proposed to be involved in crossover interference; interacts with Dmc1p; stimulates Dmc1p and Rad51p	meiotic cell cycle, DNA repair, organelle fission, cellular response to DNA damage stimulus, chromosome segregation, DNA recombination	hydrolase activity, DNA binding, ATPase activity	nucleus	rdh54 null	10	I	21	
[DPI-1]	6	5	YDL101C	DUN1	serine/threonine protein kinase DUN1	Cell-cycle checkpoint S/T protein kinase; required for transient G2/M arrest after DNA damage, damage-induced transcription, and nuclear-to-cytoplasmic redistribution of Rnr2p-Rnr4p after genotoxic stress and iron deprivation; phosphorylates repair protein Rad55p, transcriptional repressor Sml1p, superoxide dismutase, and ribonucleotide reductase inhibitors Crt1p and Dif1p; functions in the Mec1p pathway to regulate dNTP pools and telomere length; postreplicative repair role	peptidyl-amino acid modification, protein phosphorylation, DNA replication, cellular response to DNA damage stimulus, regulation of DNA metabolic process, regulation of cell cycle	kinase activity, transferase activity	nucleus	dun1 null	10	L	3	
[DPI-1]	6	6	YCR066W	RAD18	E3 ubiquitin-protein ligase RAD18	E3 ubiquitin ligase; forms heterodimer with Rad6p to monoubiquitinate PCNA-K164; heterodimer binds single-stranded DNA and has single-stranded DNA dependent ATPase activity; required for postreplication repair; SUMO-targeted ubiquitin ligase (STUbl) that contains a SUMO-interacting motif (SIM) which stimulates its ubiquitin ligase activity towards the sumoylated form of PCNA	DNA repair, cellular response to DNA damage stimulus, protein modification by small protein conjugation or removal	hydrolase activity, DNA binding, ATPase activity	nucleus, chromosome	rad18 null	10	N	18	
[DPI-1]	6	7	YCR066W	RAD18	E3 ubiquitin-protein ligase RAD18	E3 ubiquitin ligase; forms heterodimer with Rad6p to monoubiquitinate PCNA-K164; heterodimer binds single-stranded DNA and has single-stranded DNA dependent ATPase activity; required for postreplication repair; SUMO-targeted ubiquitin ligase (STUbl) that contains a SUMO-interacting motif (SIM) which stimulates its ubiquitin ligase activity towards the sumoylated form of PCNA	DNA repair, cellular response to DNA damage stimulus, protein modification by small protein conjugation or removal	hydrolase activity, DNA binding, ATPase activity	nucleus, chromosome	rad18 null	10	N	18	
[DPI-1]	6	8	YIL132C	CSM2	-	Component of Shu complex (aka PCSS complex); Shu complex also includes Psy3, Shu1, Shu2, and promotes error-free DNA repair,; Shu complex mediates inhibition of Srs2p function; promotes formation of Rad51p filaments; Psy3p and Csm2p contain similar DNA-binding regions which work together to form a single DNA binding site; required for accurate chromosome segregation during meiosis	meiotic cell cycle, DNA repair, organelle fission, cellular response to DNA damage stimulus, chromosome segregation, DNA recombination	molecular_function	nucleus, chromosome, cytoplasm	csm2 null	11	B	7	
[DPI-1]	6	9	YOR202W	HIS3-BLANK	-	-	-	-	-	WT	-	-	-	
[DPI-1]	6	10	YBR275C	RIF1	DNA-binding protein RIF1	Protein that binds to the Rap1p C-terminus; acts synergistically with Rif2p to help control telomere length and establish telomeric silencing; involved in control of DNA replication; contributes to resection of DNA double strand breaks (DSBs); deletion results in telomere elongation	DNA repair, telomere organization, chromatin organization, DNA replication, cellular response to DNA damage stimulus	DNA binding	nucleus, chromosome	rif1 null	11	O	18	
[DPI-1]	6	11	YPL017C	IRC15	-	Microtubule associated protein; regulates microtubule dynamics; required for accurate meiotic chromosome segregation; null mutant displays large budded cells due to delayed mitotic progression, increased levels of spontaneous Rad52 foci; IRC15 has a paralog, LPD1, that arose from the whole genome duplication	mitotic cell cycle, meiotic cell cycle, organelle fission, cytoskeleton organization, protein complex biogenesis, chromosome segregation, DNA recombination, regulation of cell cycle	transferase activity, methyltransferase activity, cytoskeletal protein binding	cytoskeleton, cytoplasm	irc15 null	12	B	20	
[DPI-1]	6	12	YGL163C	RAD54	DNA-dependent ATPase RAD54|XRS1	DNA-dependent ATPase that stimulates strand exchange; modifies the topology of double-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; member of the SWI/SNF family of DNA translocases; forms nuclear foci upon DNA replication stress	DNA repair, telomere organization, chromatin organization, cellular response to DNA damage stimulus, DNA recombination, regulation of DNA metabolic process	hydrolase activity, ATPase activity	nucleus, cytoplasm	rad54 null	12	E	11	
[DPI-1]	7	1	YBR171W	SEC66	KAR7|Sec63 complex subunit SEC66|SEC71|HSS1	Non-essential subunit of Sec63 complex; with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER; other members are Sec63p, Sec62p, and Sec72p	protein targeting, transmembrane transport	protein transporter activity	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	sec66 null	12	F	13	
[DPI-1]	7	2	YGL175C	SAE2	ssDNA endodeoxyribonuclease SAE2|COM1	Endonuclease required for telomere elongation; required for telomeric 5' C-rich strand resection; involved in ds-break repair and processing hairpin DNA structures with the MRX complex; function requires sumoylation and phosphorylation; exists as inactive oligomers that are transiently released into smaller active units by phosphorylation; DNA damage triggers Sae2p removal, so active Sae2p is present only transiently; sequence and functional similarity with human CtIP/RBBP8	meiotic cell cycle, DNA repair, telomere organization, organelle fission, cellular response to DNA damage stimulus, DNA recombination	hydrolase activity, DNA binding, nuclease activity	nucleus, cytoplasm	sae2 null	12	G	5	
[DPI-1]	7	3	YDL013W	SLX5	SUMO-targeted ubiquitin ligase complex subunit SLX5|ULS2|HEX3	Subunit of the Slx5-Slx8 SUMO-targeted Ub ligase (STUbL) complex; role in Ub-mediated degradation of histone variant Cse4p preventing mislocalization to euchromatin; role in proteolysis of spindle positioning protein Kar9p, and DNA repair proteins Rad52p and Rad57p; forms SUMO-dependent nuclear foci, including DNA repair centers; contains a RING domain and two SIM motifs; associates with the centromere; required for maintenance of genome integrity like human ortholog RNF4	peptidyl-amino acid modification, telomere organization, cellular response to DNA damage stimulus, proteolysis involved in cellular protein catabolic process, protein modification by small protein conjugation or removal	transferase activity, ubiquitin-like protein binding	nucleus, chromosome	slx5 null	12	H	9	
[DPI-1]	7	4	YFL023W 	nucleus, chromosome	nucleus, chromosome	nucleus, chromosome	-	-	-	bud27 null	8	J	10	
[DPI-1]	7	5	YMR201C 	-	-	-	-	-	-	rad14 null	1	G	7	
[DPI-1]	7	6	YER116C	SLX8	SUMO-targeted ubiquitin ligase complex subunit SLX8	Subunit of Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex; role in proteolysis of spindle positioning protein Kar9, DNA repair proteins Rad52p and Rad57p; stimulated by SUMO-modified substrates; contains a C-terminal RING domain; forms nuclear foci upon DNA replication stress; required for maintenance of genome integrity like human ortholog RNF	peptidyl-amino acid modification, telomere organization, cellular response to DNA damage stimulus, protein modification by small protein conjugation or removal	transferase activity	nucleus, chromosome, cytoplasm	slx8 null	12	I	15	
[DPI-1]	7	7	YDL059C	RAD59	-	Protein involved DNA double-strand break repair; repairs breaks in DNA during vegetative growth via recombination and single-strand annealing; anneals complementary single-stranded DNA; forms nuclear foci upon DNA replication stress; required for loading of Rad52p to DSBs; regulates replication fork progression in DNA ligase I-deficient cells; paralog of Rad52p	DNA repair, telomere organization, cellular response to DNA damage stimulus, DNA recombination, regulation of DNA metabolic process	other	nucleus, cytoplasm	rad59 null	12	N	7	
[DPI-1]	7	8	YMR055C	BUB2	PAC7	Mitotic exit network regulator; forms GTPase-activating Bfa1p-Bub2p complex that binds Tem1p and spindle pole bodies, blocks cell cycle progression before anaphase in response to spindle and kinetochore damage	mitotic cell cycle, organelle fission, regulation of organelle organization, chromosome segregation, regulation of cell cycle	enzyme regulator activity	cytoskeleton, microtubule organizing center, cytoplasm	bub2 null	13	D	18	
[DPI-1]	7	9	YLR376C	PSY3	-	Component of Shu complex (aka PCSS complex); Shu complex also includes Shu1, Csm2, Shu2, and promotes error-free DNA repair; promotes Rad51p filament assembly; Shu complex mediates inhibition of Srs2p function; Psy3p and Csm2p contain similar DNA-binding regions which work together to form a single DNA binding site; deletion of PSY3 results in a mutator phenotype; deletion increases sensitivity to anticancer drugs oxaliplatin and cisplatin but not mitomycin C	DNA repair, DNA recombination, cellular response to DNA damage stimulus	molecular_function	nucleus, chromosome, cytoplasm	psy3 null	13	J	16	
[DPI-1]	7	10	YOR013W	IRC11	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized gene YOR012C; null mutant displays increased levels of spontaneous Rad52 foci	DNA recombination	molecular_function	cellular_component	irc11 null	13	K	14	
[DPI-1]	7	11	YML061C	PIF1	DNA helicase PIF1|TST1	DNA helicase, potent G-quadruplex DNA binder/unwinder; possesses strand annealing activity; promotes DNA synthesis during break-induced replication; important for crossover recombination; translation from different start sites produces mitochondrial and nuclear forms; nuclear form is a catalytic inhibitor of telomerase; mitochondrial form involved in DNA repair and recombination; mutations affect Zn, Fe homeostasis; regulated by Rad53p-dependent phosphorylation in rho0 cells	DNA replication, DNA recombination, DNA repair, telomere organization, mitochondrion organization, regulation of organelle organization, cellular response to DNA damage stimulus, regulation of DNA metabolic process	hydrolase activity, enzyme regulator activity, DNA binding, helicase activity	nucleus, chromosome, mitochondrion, membrane, mitochondrial envelope, cytoplasm	pif1 null	13	L	11	
[DPI-1]	7	12	YPL194W	DDC1	-	DNA damage checkpoint protein; part of a PCNA-like complex required for DNA damage response, required for pachytene checkpoint to inhibit cell cycle in response to unrepaired recombination intermediates; potential Cdc28p substrate; forms nuclear foci upon DNA replication stress	mitotic cell cycle, meiotic cell cycle, DNA repair, organelle fission, regulation of organelle organization, cellular response to DNA damage stimulus, DNA recombination, regulation of cell cycle	molecular_function	nucleus, chromosome	ddc1 null	13	M	17	
[DPI-1]	8	1	YFR038W	IRC5	putative ATPase	Putative ATPase containing the DEAD/H helicase-related sequence motif; null mutant displays increased levels of spontaneous Rad52p foci; SWAT-GFP and mCherry fusion proteins localize to the nucleus	DNA recombination	ATPase activity, hydrolase activity	nucleus	irc5 null	14	C	7	
[DPI-1]	8	2	YFR055W	IRC7	cysteine-S-conjugate beta-lyase IRC7	Beta-lyase involved in the production of thiols; null mutant displays increased levels of spontaneous Rad52p foci; expression induced by nitrogen limitation in a GLN3, GAT1-dependent manner and by copper levels in a Mac1-dependent manner	monocarboxylic acid metabolic process, cellular amino acid metabolic process	lyase activity	cellular_component	irc7 null	14	E	7	
[DPI-1]	8	3	YHL006C	SHU1	-	Component of Shu complex (aka PCSS complex); Shu complex also includes Psy3, Csm2, Shu2, and promotes error-free DNA repair, mediates inhibition of Srs2p function; essential for promoting the establishment of homolog bias during meiotic homologous recombination; promotes both crossover (CO) and non-crossover (NCO) pathways of meiotic recombination and formation of Rad51p filaments	DNA repair, DNA recombination, cellular response to DNA damage stimulus	molecular_function	nucleus, nucleolus, chromosome	shu1 null	14	L	18	
[DPI-1]	8	4	YPL022W	RAD1	RAD12|ssDNA endodeoxyribonuclease RAD1|LPB9	Single-stranded DNA endonuclease (with Rad10p); cleaves single-stranded DNA during nucleotide excision repair and double-strand break repair; subunit of Nucleotide Excision Repair Factor 1 (NEF1); homolog of human XPF protein	meiotic cell cycle, DNA repair, organelle fission, cellular response to DNA damage stimulus, DNA recombination	hydrolase activity, DNA binding, nuclease activity	nucleus	rad1 null	14	M	3	
[DPI-1]	8	5	YLR247C	IRC20	E3 ubiquitin-protein ligase IRC20	E3 ubiquitin ligase and putative helicase; involved in synthesis-dependent strand annealing-mediated homologous recombination; ensures precise end-joining along with Srs2p in the Yku70p/Yku80p/Lig4p-dependent nonhomologous end joining (NHEJ) pathway; localizes to both the mitochondrion and the nucleus; contains a Snf2/Swi2 family ATPase/helicase and a RING finger domain; interacts with Cdc48p and Smt3p; null mutant displays increased levels of spontaneous Rad52p foci	DNA repair, cellular response to DNA damage stimulus, DNA recombination	transferase activity, hydrolase activity, helicase activity	nucleus, mitochondrion, cytoplasm	irc20 null	14	O	8	
[DPI-1]	8	6	YPL002C	SNF8	ESCRT-II subunit protein SNF8|VPL14|VPS22	Component of the ESCRT-II complex; ESCRT-II is involved in ubiquitin-dependent sorting of proteins into the endosome; appears to be functionally related to SNF7; involved in glucose derepression	response to chemical, protein targeting, ion transport, proteolysis involved in cellular protein catabolic process, nucleobase-containing compound transport, transcription from RNA polymerase II promoter	molecular_function	cytoplasmic vesicle, endomembrane system, membrane, cytoplasm	snf8 null	15	F	2	
[DPI-1]	8	7	YJL092W	SRS2	DNA helicase SRS2|HPR5|RADH1|RADH	DNA helicase and DNA-dependent ATPase; involved in DNA repair and checkpoint recovery, needed for proper timing of commitment to meiotic recombination and transition from Meiosis I to II; blocks trinucleotide repeat expansion; affects genome stability; disassembles Rad51p nucleoprotein filaments during meiotic recombination; stimulates activity of the Mus81p-Mms4p endonuclease, independently of Srs2p catalytic activity; functional homolog of human RTEL1	DNA repair, cellular response to DNA damage stimulus, DNA recombination, regulation of DNA metabolic process	hydrolase activity, enzyme regulator activity, helicase activity	nucleus	srs2 null	15	K	16	
[DPI-1]	8	8	YLR234W	TOP3	DNA topoisomerase 3|EDR1	DNA Topoisomerase III; conserved protein that functions in a complex with Sgs1p and Rmi1p to relax single-stranded negatively-supercoiled DNA preferentially; DNA catenation/decatenation activity is stimulated by RPA and Sgs1p-Top3p-Rmi1p; involved in telomere stability and regulation of mitotic recombination	mitotic cell cycle, meiotic cell cycle, telomere organization, organelle fission, chromosome segregation, DNA recombination, regulation of DNA metabolic process	isomerase activity	nucleus, chromosome	top3 null	15	K	17	
[DPI-1]	8	9	YDR138W	HPR1	TRF1	Subunit of THO/TREX complexes; this complex couple transcription elongation with mitotic recombination and with mRNA metabolism and export, subunit of an RNA Pol II complex; regulates lifespan; involved in telomere maintenance; similar to Top1p	transcription from RNA polymerase I promoter, DNA repair, cellular response to DNA damage stimulus, nucleobase-containing compound transport, DNA recombination, mRNA processing, transcription from RNA polymerase II promoter, nuclear transport, DNA-templated transcription, elongation	structural molecule activity	nucleus, chromosome	hpr1 null	15	M	17	
[DPI-1]	8	10	YJL124C	LSM1	SPB8	Lsm (Like Sm) protein; forms heteroheptameric complex (with Lsm2p, Lsm3p, Lsm4p, Lsm5p, Lsm6p, and Lsm7p) involved in degradation of cytoplasmic mRNAs; also enters the nucleus and positively regulates transcription initiation; unlike most Sm-like proteins, Lsm1p requires both its SM-domain and C-terminal domain for RNA-binding; binds to mRNAs under glucose starvation, most often in the 3' UTR; forms cytoplasmic foci upon DNA replication stress	RNA catabolic process	chromatin binding, RNA binding, mRNA binding	nucleus, cytoplasm	lsm1 null	16	C	13	
[DPI-1]	8	11	YLL033W	IRC19	RRG4|GON2	Protein of unknown function; YLL033W is not an essential gene but mutant is defective in spore formation; null mutant displays increased levels of spontaneous Rad52p foci	meiotic cell cycle, sporulation, DNA recombination	molecular_function	cellular_component	irc19 null	16	E	10	
[DPI-1]	8	12	YDR115W	MRX14	putative mitochondrial 54S ribosomal protein	Putative mitochondrial ribosomal protein of the large subunit; similar to E. coli L34 ribosomal protein; required for respiratory growth, as are most mitochondrial ribosomal proteins; protein increases in abundance and relocalizes to the plasma membrane upon DNA replication stress	mitochondrial translation, mitochondrion organization	structural constituent of ribosome, structural molecule activity	nucleus, ribosome, mitochondrion, cytoplasm	ydr115w null	16	K	10	
[DPI-2]	1	1	YLR024C	UBR2	putative ubiquitin-protein ligase UBR2	Cytoplasmic ubiquitin-protein ligase (E3); component of the Mub1p-Ubr2p-Rad6p ubiquitin ligase complex required for the ubiquitination and degradation of Rpn4p; mediates formation of the ternary complex	response to chemical, protein modification by small protein conjugation or removal, proteolysis involved in cellular protein catabolic process	transferase activity	cytoplasm	ubr2 null	1	F	11	
[DPI-2]	1	2	YMR201C	RAD14	-	Protein that recognizes and binds damaged DNA during NER; subunit of Nucleotide Excision Repair Factor 1 (NEF1); contains zinc finger motif; homolog of human XPA protein; NER stands for nucleotide excision repair	DNA repair, cellular response to DNA damage stimulus	DNA binding, ion binding	nucleus	rad14 null	1	G	7	
[DPI-2]	1	3	YAR002W	NUP60	FG-nucleoporin NUP60	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153	response to heat, peptidyl-amino acid modification, chromatin organization, DNA repair, protein targeting, cellular response to DNA damage stimulus, nucleobase-containing compound transport, regulation of protein modification process, protein modification by small protein conjugation or removal, nuclear transport	ion binding, lipid binding, structural molecule activity	nucleus, endomembrane system, membrane, cytoplasm	nup60 null	1	J	4	
[DPI-2]	1	4	YLL002W	RTT109	H3 histone acetyltransferase RTT109|KAT11|REM50|KIM2	Histone acetyltransferase; critical for cell survival in presence of DNA damage during S phase, required for recovery after DSB repair; acetylates H3K56, H3K9; H3K56 acetylation activity required for expression homeostasis, buffering of mRNA synthesis rate against changes in gene dosage during S phase; involved in non-homologous end joining and regulation of Ty1 transposition; prevents hyper-amplification of rDNA; interacts physically with Vps75p	peptidyl-amino acid modification, DNA repair, protein acylation, chromatin organization, cellular response to DNA damage stimulus, transposition, histone modification, regulation of DNA metabolic process, transcription from RNA polymerase II promoter	transferase activity	nucleus	rtt109 null	1	L	20	
[DPI-2]	1	5	YML058W	SML1	ribonucleotide reductase inhibiting protein SML1	Ribonucleotide reductase inhibitor; involved in regulating dNTP production; regulated by Mec1p and Rad53p during DNA damage and S phase; SML1 has a paralog, DIF1, that arose from the whole genome duplication	mitochondrion organization, cellular response to DNA damage stimulus	enzyme regulator activity	nucleus, cytoplasm	sml1 null	1	O	6	
[DPI-2]	1	6	YOR202W	HIS3-BLANK	-	-	-	-	-	WT	-	-	-	
[DPI-2]	1	7	YOR023C	AHC1	-	Subunit of the Ada histone acetyltransferase complex; required for structural integrity of the complex; Ahc2p and Ahc1p are unique to the ADA complex and not shared with the related SAGA and SLIK complexes; Ahc2p may tether Ahc1p to the complex	peptidyl-amino acid modification, protein acylation, chromatin organization, histone modification	transferase activity	nucleus	ahc1 null	2	B	7	
[DPI-2]	1	8	YOR025W	HST3	NAD-dependent histone deacetylase HST3	Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst4p in telomeric silencing, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism	lipid metabolic process, chromatin organization, monocarboxylic acid metabolic process, histone modification	hydrolase activity	nucleus	hst3 null	2	B	13	
[DPI-2]	1	9	YOR368W	RAD17	-	Checkpoint protein; involved in the activation of the DNA damage and meiotic pachytene checkpoints; with Mec3p and Ddc1p, forms a clamp that is loaded onto partial duplex DNA; homolog of human and S. pombe Rad1 and U. maydis Rec1 proteins	meiotic cell cycle, DNA repair, organelle fission, DNA recombination, cellular response to DNA damage stimulus, regulation of cell cycle	DNA binding	nucleus, chromosome	rad17 null	2	E	8	
[DPI-2]	1	10	YOR044W	IRC23	-	Protein of unknown function; green fluorescent protein (GFP)-fusion localizes to the ER; null mutant displays increased levels of spontaneous Rad52p foci; IRC23 has a paralog, BSC2, that arose from the whole genome duplication	biological_process	molecular_function	endomembrane system, endoplasmic reticulum, cytoplasm	irc23 null	2	F	3	
[DPI-2]	1	11	YOL002C	IZH2	PAQR-type receptor|PHO36	Plasma membrane receptor for plant antifungal osmotin; involved in zinc ion homeostasis, apoptosis; negatively regulates ZRT1 and other functionally divergent genes through CCCTC promoter motif (IzRE); modulates FET3 activity in iron-independent manner; affects gene expression by influencing balance of competition between Msn2p/Msn4p and Nrg1p/Nrg2p for binding to IzRE; transcription regulated by Zap1p, zinc, fatty acid levels; homolog of mammalian adiponectin receptor	response to chemical, cellular ion homeostasis, transcription from RNA polymerase II promoter	other	vacuole, membrane, cytoplasm, plasma membrane	izh2 null	2	G	12	
[DPI-2]	1	12	YOR073W	SGO1	YOR29-24	Component of the spindle checkpoint; involved in sensing lack of tension on mitotic chromosomes; protects centromeric Rec8p at meiosis I; required for accurate chromosomal segregation at meiosis II and for mitotic chromosome stability; recruits condensin to the pericentric region of chromosomes during meiosis; dissociates from pericentromeres when sister kinetochores are under tension	mitotic cell cycle, meiotic cell cycle, organelle fission, regulation of organelle organization, chromosome segregation, regulation of cell cycle	molecular_function	nucleus, cytoskeleton, microtubule organizing center, chromosome	sgo1 null	2	H	23	
[DPI-2]	2	1	YOL025W	LAG2	ECM36	Protein that negatively regulates the SCF E3-ubiquitin ligase; regulates by interacting with and preventing neddyation of the cullin subunit, Cdc53p; longevity determinant that is preferentially expressed in young cells; similar to mammalian Cand1	regulation of protein modification process, protein modification by small protein conjugation or removal	molecular_function	mitochondrion, cytoplasm	lag2 null	2	I	22	
[DPI-2]	2	2	YNL273W	TOF1	-	Subunit of a replication-pausing checkpoint complex; Tof1p-Mrc1p-Csm3p acts at the stalled replication fork to promote sister chromatid cohesion after DNA damage, facilitating gap repair of damaged DNA; interacts with the MCM helicase; relocalizes to the cytosol in response to hypoxia	mitotic cell cycle, DNA repair, organelle fission, DNA replication, cellular response to DNA damage stimulus, chromosome segregation, regulation of DNA metabolic process, regulation of cell cycle	molecular_function	nucleus, chromosome, cytoplasm	tof1 null	2	L	8	
[DPI-2]	2	3	YOL049W	GSH2	glutathione synthase	Glutathione synthetase; catalyzes the ATP-dependent synthesis of glutathione (GSH) from gamma-glutamylcysteine and glycine; induced by oxidative stress and heat shock	other	ligase activity	other	gsh2 null	2	M	12	
[DPI-2]	2	4	YDR386W	MUS81	SLX3	Subunit of structure-specific Mms4p-Mus81p endonuclease; cleaves branched DNA; involved in DNA repair, replication fork stability, and joint molecule formation/resolution during meiotic recombination; promotes template switching during break-induced replication (BIR), causing non-reciprocal translocations (NRTs); helix-hairpin-helix protein; phosphorylation of non-catalytic subunit Mms4p by Cdc28p and Cdcp during mitotic cell cycle activates function of Mms4p-Mus81p	meiotic cell cycle, DNA repair, organelle fission, cellular response to DNA damage stimulus, chromosome segregation, DNA recombination	hydrolase activity, enzyme regulator activity, nuclease activity	nucleus	mus81 null	3	G	10	
[DPI-2]	2	5	YDR409W	SIZ1	SUMO ligase SIZ1|ULL1	SUMO E3 ligase; promotes attachment of small ubiquitin-related modifier sumo (Smt3p) to primarily cytoplasmic proteins; regulates Rsp5p ubiquitin ligase activity and is in turn itself regulated by Rsp5p; required for sumoylation of septins and histone H3 variant Cse4p, a prerequisite for STUbL-mediated Ub-dependent degradation; localizes to the septin ring; acts as an adapter between E2, Ubc9p and substrates; tends to compensate for survival of DNA damage in absence of Nfi1p	peptidyl-amino acid modification, chromosome segregation, regulation of protein modification process, protein modification by small protein conjugation or removal	transferase activity	nucleus, cell cortex, cytoskeleton, chromosome, cytoplasm	siz1 null	3	I	18	
[DPI-2]	2	6	YOR202W	HIS3-BLANK	-	-	-	-	-	WT	-	-	-	
[DPI-2]	2	7	YDR075W	PPH3	phosphoprotein phosphatase PP4 catalytic subunit PPH3	Catalytic subunit of protein phosphatase PP4 complex; Pph3p and Psy2p form active complex, Psy4p may provide substrate specificity; regulates recovery from the DNA damage checkpoint, the gene conversion- and single-strand annealing-mediated pathways of meiotic double-strand break repair and efficient Non-Homologous End-Joining (NHEJ) pathway; involved in activation of Gln3p to alleviate nitrogen catabolite repression; Pph3p and Psy2p localize to foci on meiotic chromosomes	meiotic cell cycle, response to chemical, organelle fission, protein dephosphorylation, DNA recombination, DNA repair, regulation of organelle organization, cellular response to DNA damage stimulus, regulation of DNA metabolic process, regulation of cell cycle, signaling	phosphatase activity, hydrolase activity	nucleus, chromosome, cytoplasm	pph3 null	3	J	3	
[DPI-2]	2	8	YDR116C	MRPL1	mitochondrial 54S ribosomal protein MRPL1	Mitochondrial ribosomal protein of the large subunit	mitochondrial translation, mitochondrion organization	structural molecule activity, structural constituent of ribosome	ribosome, mitochondrion, cytoplasm	mrpl1 null	3	N	13	
[DPI-2]	2	9	YHR031C	RRM3	RTT104	DNA helicase involved in rDNA replication and Ty1 transposition; binds to and suppresses DNA damage at G4 motifs in vivo; relieves replication fork pauses at telomeric regions; structurally and functionally related to Pif1p	DNA replication, mitochondrion organization, regulation of DNA metabolic process	hydrolase activity, ATPase activity, helicase activity	nucleus, chromosome	rrm3 null	4	B	17	
[DPI-2]	2	10	YGR078C	PAC10	tubulin-binding prefolding complex subunit PAC10|RKS2|PFD3|GIM2	Part of the heteromeric co-chaperone GimC/prefoldin complex; complex promotes efficient protein folding	protein complex biogenesis	cytoskeletal protein binding	cytoplasm	pac10 null	5	D	9	
[DPI-2]	2	11	YGL086W	MAD1	coiled-coil domain-containing protein MAD1	Coiled-coil protein involved in spindle-assembly checkpoint; required for inhibition of karyopherin/importin Pse1p (aka Kap121p) upon spindle assembly checkpoint arrest; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of anaphase promoting complex activity; forms a complex with Mad2p; gene dosage imbalance between MAD1 and MAD2 leads to chromosome instability	mitotic cell cycle, organelle fission, regulation of organelle organization, chromosome segregation, nuclear transport, regulation of cell cycle	molecular_function	nucleus, endomembrane system, chromosome	mad1 null	5	J	18	
[DPI-2]	2	12	YOR135C	IRC14	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YOR136W; null mutant displays increased levels of spontaneous Rad52 foci	meiotic cell cycle, sporulation, DNA recombination, transcription from RNA polymerase II promoter	molecular_function	cellular_component	irc14 null	5	L	13	
[DPI-2]	3	1	YOR144C	ELG1	RTT110	Subunit of an alternative replication factor C complex; important for DNA replication and genome integrity; suppresses spontaneous DNA damage; involved in homologous recombination-mediated repair and telomere homeostasis; required for PCNA (Pol30p) unloading during DNA replication	mitotic cell cycle, DNA repair, telomere organization, organelle fission, DNA replication, cellular response to DNA damage stimulus, transposition, chromosome segregation, DNA recombination, regulation of DNA metabolic process	chromatin binding	nucleus, chromosome, mitochondrion, cytoplasm	elg1 null	5	N	3	
[DPI-2]	3	2	YLR260W	LCB5	sphinganine kinase LCB5	Minor sphingoid long-chain base kinase; possibly involved in synthesis of long-chain base phosphates, which function as signaling molecules; LCB5 has a paralog, LCB4, that arose from the whole genome duplication	response to heat, lipid metabolic process, signaling	kinase activity, transferase activity	nucleus, endomembrane system, membrane, Golgi apparatus, cytoplasm	lcb5 null	6	B	3	
[DPI-2]	3	3	YDR217C	RAD9	chromatin-binding protein RAD9	DNA damage-dependent checkpoint protein; required for cell-cycle arrest in G1/S, intra-S, and G2/M, plays a role in postreplication repair (PRR) pathway; transmits checkpoint signal by activating Rad53p and Chk1p; hyperphosphorylated by Mec1p and Tel1p; multiple cyclin dependent kinase consensus sites and the C-terminal BRCT domain contribute to DNA damage checkpoint activation; Rad9p Chk1 Activating Domain (CAD) is phosphorylated at multiple sites by Cdc28p/Clb2p	mitotic cell cycle, DNA repair, cellular response to DNA damage stimulus, transcription from RNA polymerase II promoter, regulation of cell cycle	histone binding, enzyme regulator activity, DNA binding	nucleus, chromosome	rad9 null	6	D	10	
[DPI-2]	3	4	YPR135W	CTF4	chromatin-binding protein CTF4|POB1|CHL15	Chromatin-associated protein; required for sister chromatid cohesion; interacts with DNA polymerase alpha (Pol1p) and may link DNA synthesis to sister chromatid cohesion	mitotic cell cycle, DNA repair, organelle fission, DNA replication, cellular response to DNA damage stimulus, chromosome segregation, DNA recombination	chromatin binding, DNA binding	nucleus, chromosome	ctf4 null	6	E	15	
