heterozygous essentials b isolates			release 1										
Synced to SGD on Sat Jul  8 00:51:41 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	record no.	strain	rg notes	db notes	
402	C	11	YPL190C	NAB3	HMD1	RNA-binding protein, subunit of Nrd1 complex (Nrd1p-Nab3p-Sen1p); complex interacts with exosome to mediate 3'-end formation of some mRNAs, snRNAs, snoRNAs, and CUTs; required for termination of non-poly(A) transcripts and efficient splicing; Nrd1-Nab3 pathway appears to have a role in rapid suppression of some genes when cells are shifted to poor growth conditions, indicating role for Nrd1-Nab3 in regulating cellular response to nutrient availability	snoRNA processing, DNA-templated transcription, termination, RNA catabolic process, tRNA processing, mRNA processing, transcription from RNA polymerase II promoter	RNA binding, mRNA binding	nucleus, cytoplasm	21102	chr16_1	-	-	
402	C	12	YPL204W	HRR25	serine/threonine protein kinase HRR25|KTI14	Conserved casein kinase; regulates diverse events including: vesicular traffic, DNA repair, the CVT pathway, monopolar attachment of sister kinetochores at meiosis I, and ribosomal subunit biogenesis; monopolin subunit; binds the RNAPII CTD; phosphorylates COPII coat subunits; interacts with Sit4p phosphatase; antagonizes calcineurin signaling, reducing nuclear accumulation of Crz1p; phosphorylates Dsn1p, the kinetochore receptor for monopolin; homolog of mammalian CK1delta	peptidyl-amino acid modification, meiotic cell cycle, organelle fission, regulation of transport, ribosomal large subunit biogenesis, Golgi vesicle transport, tRNA processing, RNA modification, DNA repair, protein targeting, protein phosphorylation, cellular response to DNA damage stimulus, ribosomal small subunit biogenesis, chromosome segregation, endocytosis	kinase activity, transferase activity	nucleus, cytoskeleton, chromosome, plasma membrane, Golgi apparatus, microtubule organizing center, endomembrane system, cellular bud, membrane, site of polarized growth, cytoplasm	21088	chr16_1	-	-	
402	D	1	YPL209C	IPL1	aurora kinase|PAC15	Aurora kinase of chromosomal passenger complex; mediates release of mono-oriented kinetochores from microtubules in meiosis I, and kinetochore release from SPB clusters at meiotic exit; helps maintain condensed chromosomes during anaphase; required for SPB cohesion and prevention of multipolar spindle formation; promotes telomerase release at G2/M; Iocalizes to nuclear foci that diffuse upon DNA replication stress; required for inhibition of karyopherin Pse1p upon SAC arrest	peptidyl-amino acid modification, mitotic cell cycle, meiotic cell cycle, organelle fission, cytoskeleton organization, protein phosphorylation, regulation of organelle organization, cytokinesis, organelle assembly, chromosome segregation, regulation of cell cycle	kinase activity, transferase activity	nucleus, cytoskeleton, chromosome, cytoplasm	21083	chr16_1	-	-	
402	D	2	YPL210C	SRP72	signal recognition particle subunit SRP72	Core component of the signal recognition particle (SRP); the SRP is a ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane	protein targeting, transmembrane transport	molecular_function	cytoplasm	21082	chr16_1	-	-	
402	D	3	YPL211W	NIP7	ribosome biosynthesis protein NIP7	Nucleolar protein required for 60S ribosome subunit biogenesis; constituent of 66S pre-ribosomal particles; physically interacts with Nop8p and the exosome subunit Rrp43p	rRNA processing, ribosomal large subunit biogenesis	molecular_function	nucleus, nucleolus, cytoplasm	21081	chr16_1	-	-	
402	D	4	YPL218W	SAR1	Arf family GTPase SAR1	ARF family GTPase; component of the COPII vesicle coat; required for transport vesicle formation during ER to Golgi protein transport; lowers membrane rigidity aiding vesicle formation; localizes to ER-mitochondrial contact sites where it enhances membrane curvature, thereby reducing contact size via its N-terminal amphipathic helix; regulates mitochondrial fission and fusion dynamics	organelle fission, mitochondrion organization, regulation of organelle organization, regulation of transport, vesicle organization, protein complex biogenesis, Golgi vesicle transport	GTPase activity, hydrolase activity	cytoplasmic vesicle, endomembrane system, membrane, endoplasmic reticulum, cytoplasm	21074	chr16_1	-	-	
402	D	5	YPL228W	CET1	polynucleotide 5'-phosphatase|CES5	RNA 5'-triphosphatase involved in mRNA 5' capping; subunit of mRNA capping enzyme, which is a heterotetramer composed of a Cet1p homodimer and two molecules of guanylyltransferase Ceg1p; Cet1p also has a role in regulation of RNAPII pausing at promoter-proximal sites; interaction between Cet1p and Ceg1p is required for Ceg1p nuclear import; mammalian enzyme is single bifunctional polypeptide; human homolog RNGTT can complement yeast cet1 null mutant	mRNA processing, transcription from RNA polymerase II promoter, DNA-templated transcription, elongation	phosphatase activity, hydrolase activity	nucleus	21064	chr16_1	-	-	
402	D	6	YPL231W	FAS2	trifunctional fatty acid synthase subunit FAS2	Alpha subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains the acyl-carrier protein domain and beta-ketoacyl reductase, beta-ketoacyl synthase and self-pantetheinylation activities	lipid metabolic process, monocarboxylic acid metabolic process	transferase activity, oxidoreductase activity	mitochondrion, cytoplasm	21061	chr16_1	-	-	
402	D	7	YPL233W	NSL1	MIND complex subunit NSL1	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; required for accurate chromosome segregation; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)	chromosome segregation	molecular_function	nucleus, cytoskeleton, chromosome	21059	chr16_1	-	-	
402	D	8	YPL235W	RVB2	RuvB family ATP-dependent DNA helicase reptin|TIP48|TIH2|TIP49B	ATP-dependent DNA helicase, also known as reptin; member of the AAA+ and RuvB protein families, similar to Rvb1p; conserved component of multiple complexes including the INO80 complex, the Swr1 complex, and the R2TP complex (Rvb1-Rvb2-Tah1-Pih1); involved in multiple processes such as chromatin remodeling, box C/D snoRNP assembly, and RNA polymerase II assembly	chromatin organization, rRNA processing, transcription from RNA polymerase II promoter	hydrolase activity, ATPase activity, helicase activity	nucleus, chromosome	21057	chr16_1	-	-	
402	D	9	YPL237W	SUI3	translation initiation factor eIF2 subunit beta	Beta subunit of the translation initiation factor eIF2; involved in the identification of the start codon; proposed to be involved in mRNA binding	translational initiation	RNA binding, translation factor activity, RNA binding, mRNA binding	cytoplasm	21054	chr16_1	-	-	
402	D	10	YPL238C	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps 5' end of the verified essential gene SUI3/YPL237W	biological_process	molecular_function	membrane	21055	chr16_1	-	-	
402	D	11	YPL242C	IQG1	CYK1	Essential protein required for determination of budding pattern; promotes localization of axial markers Bud4p and Cdc12p and functionally interacts with Sec3p, localizes to the contractile ring during anaphase, member of the IQGAP family; relocalizes from bud neck to cytoplasm upon DNA replication stress	cytoskeleton organization, response to osmotic stress	cytoskeletal protein binding	cell cortex, cytoskeleton, cellular bud, site of polarized growth, cytoplasm	21050	chr16_1	-	-	
402	D	12	YPL243W	SRP68	signal recognition particle subunit SRP68	Core component of the signal recognition particle (SRP) complex; SRP complex functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane; relocalizes from cytoplasm to the nuclear periphery upon DNA replication stress	protein targeting, transmembrane transport	molecular_function	nucleus, cytoplasm	21049	chr16_1	-	-	
402	E	1	YPL251W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps 5' end of the verified, essential gene YAH1/YPL252C	biological_process	molecular_function	cellular_component	21040	chr16_1	-	-	
402	E	2	YPL252C	YAH1	adrenodoxin	Ferredoxin of the mitochondrial matrix; required for formation of cellular iron-sulfur proteins; involved in heme A biosynthesis; human homolog FDX1L can complement yeast by allowing growth during down-regulation of yeast YAH1	cofactor metabolic process	oxidoreductase activity	mitochondrion, cytoplasm	21041	chr16_1	-	-	
402	E	3	YPL255W	BBP1	-	Protein required for the spindle pole body (SPB) duplication; localizes at the cytoplasmic side of the central plaque periphery of the SPB; forms a complex with a nuclear envelope protein Mps2p and SPB components Spc29p and Kar1p; required for mitotic functions of Cdc5p	cytoskeleton organization	structural molecule activity	cytoskeleton, microtubule organizing center, cytoplasm	21037	chr16_1	-	-	
402	E	4	YPL266W	DIM1	putative dimethyladenosine transferase|CDH1	Essential 18S rRNA dimethylase (dimethyladenosine transferase); responsible for conserved m6(2)Am6(2)A dimethylation in 3'-terminal loop of 18S rRNA, part of 90S and 40S pre-particles in nucleolus, involved in pre-ribosomal RNA processing; human homolog DIMT1 complements yeast dim1 mutant	rRNA processing, ribosomal small subunit biogenesis, RNA modification	transferase activity, methyltransferase activity	other	21026	chr16_1	-	-	
402	E	5	YPL093W	NOG1	putative GTPase NOG1	Putative GTPase; associates with free 60S ribosomal subunits in the nucleolus and is required for 60S ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; member of the ODN family of nucleolar G-proteins	rRNA processing, ribosomal subunit export from nucleus, ribosomal large subunit biogenesis, nuclear transport	ion binding	nucleus, nucleolus	22159	chr16_2	-	-	
402	E	6	YPL094C	SEC62	Sec63 complex subunit SEC62|LPG14	Essential subunit of Sec63 complex; with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER; cotranslationally N-acetylated by NatA; other members are Sec63p, Sec66p, and Sec72p	protein targeting, transmembrane transport	protein transporter activity	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	22158	chr16_2	-	-	
402	E	7	YPL117C	IDI1	isopentenyl-diphosphate delta-isomerase IDI1|LPH10|BOT2	Isopentenyl diphosphate:dimethylallyl diphosphate isomerase; catalyzes an essential activation step in the isoprenoid biosynthetic pathway; required for viability; isopentenyl diphosphate:dimethylallyl diphosphate isomerase is also known as IPP isomerase	lipid metabolic process	isomerase activity	nucleus, cytoplasm	22135	chr16_2	-	-	
402	E	8	YPL122C	TFB2	TFIIH/NER complex subunit TFB2	Subunit of TFIIH and nucleotide excision repair factor 3 complexes; involved in transcription initiation, required for nucleotide excision repair, similar to 52 kDa subunit of human TFIIH	DNA repair, protein phosphorylation, cellular response to DNA damage stimulus, transcription from RNA polymerase II promoter	DNA binding, transcription factor activity, protein binding	nucleus	22130	chr16_2	-	-	
402	E	9	YPL124W	SPC29	NIP29|LPH3	Inner plaque spindle pole body (SPB) component; links the central plaque component Spc42p to the inner plaque component Spc110p; required for SPB duplication	cytoskeleton organization, protein complex biogenesis	structural molecule activity	cytoskeleton, microtubule organizing center, cytoplasm	22128	chr16_2	-	-	
402	E	10	YPL126W	NAN1	UTP17	U3 snoRNP protein; component of the small (ribosomal) subunit (SSU) processosome containing U3 snoRNA; required for the biogenesis of18S rRNA	transcription from RNA polymerase I promoter, rRNA processing, ribosomal small subunit biogenesis	RNA binding, mRNA binding	nucleus, nucleolus, chromosome	22126	chr16_2	-	-	
402	E	11	YPL128C	TBF1	LPI16	Telobox-containing general regulatory factor; binds TTAGGG repeats within subtelomeric anti-silencing regions (STARs), blocking silent chromatin propagation; binds majority of snoRNA gene promoters, required for full snoRNA expression; caps DSB flanked by long T2AG3 repeats and blocks checkpoint activation	telomere organization, chromatin organization, regulation of organelle organization, regulation of DNA metabolic process, transcription from RNA polymerase II promoter	chromatin binding, nucleic acid binding transcription factor activity, DNA binding	nucleus, chromosome	22124	chr16_2	-	-	
402	E	12	YPL142C	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF RPL33A/YPL143W, a component of the large (60S) ribosomal subunit	biological_process	molecular_function	cellular_component	22110	chr16_2	-	-	
402	F	1	YPL143W	RPL33A	eL33|ribosomal 60S subunit protein L33A|L33e|rp47|l37A|YL37|L33A|RPL37A	Ribosomal 60S subunit protein L33A; N-terminally acetylated; rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is inviable; homologous to mammalian ribosomal protein L35A, no bacterial homolog; RPL33A has a paralog, RPL33B, that arose from the whole genome duplication	cytoplasmic translation	structural molecule activity, structural constituent of ribosome	ribosome, cytoplasm	22109	chr16_2	-	-	
402	F	2	YPL151C	PRP46	mRNA splicing protein PRP46|NTC50	Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs	RNA splicing, mRNA processing	molecular_function	nucleus	22101	chr16_2	-	-	
402	F	3	YPL153C	RAD53	serine/threonine/tyrosine protein kinase RAD53|SPK1|MEC2|LSD1	DNA damage response protein kinase; required for cell-cycle arrest, regulation of copper genes in response to DNA damage; phosphorylates nuclear pores to counteract gene gating, preventing aberrant transitions at forks approaching transcribed genes; activates downstream kinase Dun1p; differentially senses mtDNA depletion, mitochondrial ROS; relocalizes to cytosol under hypoxia; human homolog CHEK2 implicated in breast cancer can complement yeast null mutant	DNA repair, protein phosphorylation, DNA replication, cellular response to DNA damage stimulus, nucleobase-containing small molecule metabolic process, regulation of cell cycle	kinase activity, transferase activity, DNA binding	nucleus, cytoplasm	22099	chr16_2	-	-	
402	F	4	YPL160W	CDC60	leucine--tRNA ligase CDC60|LeuRS	Cytosolic leucyl tRNA synthetase; ligates leucine to the appropriate tRNA; human homolog LARS can complement yeast temperature-sensitive mutant at restrictive temperature	tRNA aminoacylation for protein translation, signaling, cellular amino acid metabolic process	ligase activity	cytoplasm	22092	chr16_2	-	-	
402	F	5	YPL169C	MEX67	-	Poly(A)RNA binding protein involved in nuclear mRNA export; component of the nuclear pore; ortholog of human TAP	ribosomal subunit export from nucleus, nucleobase-containing compound transport, nuclear transport	RNA binding, mRNA binding	nucleus, endomembrane system, membrane, cytoplasm	22083	chr16_2	-	-	
402	F	6	YPL175W	SPT14	phosphatidylinositol N-acetylglucosaminyltransferase SPT14|GPI3|CWH6	UDP-glycosyltransferase subunit of the GPI-GnT complex; UDP-GlcNAc-binding and catalytic subunit of the enzyme that mediates the first step in glycosylphosphatidylinositol (GPI) biosynthesis, mutations cause defects in transcription and in biogenesis of cell wall proteins	lipid metabolic process, protein lipidation	transferase activity, transferring glycosyl groups, transferase activity	endomembrane system, endoplasmic reticulum, cytoplasm	22077	chr16_2	-	-	
402	F	7	YBR190W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ribosomal protein gene RPL21A/YBR191W	biological_process	molecular_function	cellular_component	23330	chr2_4	-	-	
402	F	8	YBR192W	RIM2	PYT1	Mitochondrial pyrimidine nucleotide transporter; imports pyrimidine nucleoside triphosphates and exports pyrimidine nucleoside monophosphates; member of the mitochondrial carrier family	mitochondrion organization, transmembrane transport, ion transport, nucleobase-containing compound transport	transmembrane transporter activity	mitochondrion, membrane, cytoplasm	23332	chr2_4	-	-	
402	F	9	YBR193C	MED8	-	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	transcription from RNA polymerase II promoter	structural molecule activity, DNA binding, transcription factor activity, protein binding, transcription factor binding	nucleus	23333	chr2_4	-	-	
402	F	10	YBR196C	PGI1	glucose-6-phosphate isomerase|CDC30	Glycolytic enzyme phosphoglucose isomerase; catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation	carbohydrate metabolic process, cofactor metabolic process, generation of precursor metabolites and energy, monocarboxylic acid metabolic process, nucleobase-containing small molecule metabolic process	isomerase activity	mitochondrion, membrane, cytoplasm, plasma membrane	23336	chr2_4	-	-	
402	F	11	YBR198C	TAF5	chromatin modification protein|TafII90|TAF90	Subunit (90 kDa) of TFIID and SAGA complexes; involved in RNA polymerase II transcription initiation and in chromatin modification	peptidyl-amino acid modification, protein acylation, chromatin organization, histone modification, DNA-templated transcription, initiation, transcription from RNA polymerase II promoter	chromatin binding, nucleic acid binding transcription factor activity, structural molecule activity, ubiquitin-like protein binding	nucleus	23338	chr2_4	-	-	
402	F	12	YBR202W	MCM7	mini-chromosome maintenance complex protein 7|CDC47	Component of the Mcm2-7 hexameric helicase complex; MCM2-7 primes origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation in S-phase; forms an Mcm4p-6p-7p subcomplex	DNA repair, chromatin organization, DNA replication, cellular response to DNA damage stimulus, DNA recombination	chromatin binding, hydrolase activity, DNA binding, ion binding, ATPase activity, helicase activity	nucleus, chromosome, cytoplasm	23342	chr2_4	-	-	
402	G	1	YBR211C	AME1	ARP100	Essential kinetochore protein associated with microtubules and SPBs; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p); involved in spindle checkpoint maintenance; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-U and fission yeast Mis17; relative distribution to the nucleus increases upon DNA replication stress	chromosome segregation	molecular_function	nucleus, cytoskeleton, microtubule organizing center, chromosome, cytoplasm	23351	chr2_4	-	-	
402	G	2	YBR234C	ARC40	-	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches	cytoskeleton organization, regulation of organelle organization, protein complex biogenesis	ubiquitin-like protein binding	cytoskeleton	23374	chr2_4	-	-	
402	G	3	YBR236C	ABD1	mRNA (guanine-N7)-methyltransferase	Methyltransferase; catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA; nuclear protein that relocalizes to the cytosol in response to hypoxia	mRNA processing	transferase activity, methyltransferase activity	nucleus, cytoplasm	23376	chr2_4	-	-	
402	G	4	YBR237W	PRP5	DEAD-box RNA helicase PRP5|RNA5	RNA helicase in the DEAD-box family; necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA	RNA splicing, mRNA processing	ATPase activity, hydrolase activity	nucleus	23377	chr2_4	-	-	
402	G	5	YBR243C	ALG7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase|TUR1	UDP-N-acetyl-glucosamine-1-P transferase; transfers Glc-Nac-P from UDP-GlcNac to Dol-P in the ER in the first step of the dolichol pathway of protein asparagine-linked glycosylation; inhibited by tunicamycin; human homolog DPAGT1 can complement yeast ALG7 mutant	protein glycosylation, generation of precursor metabolites and energy, cellular respiration	transferase activity	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	23383	chr2_4	-	-	
402	G	6	YBR247C	ENP1	snoRNA-binding rRNA-processing protein ENP1|MEG1	Protein associated with U3 and U14 snoRNAs; required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus; human BYSL functionally complements the heat sensitivity of an enp1 ts mutant	rRNA processing, nucleobase-containing compound transport, ribosomal small subunit biogenesis, nuclear transport	RNA binding	nucleus, nucleolus, cytoplasm	23387	chr2_4	-	-	
402	G	7	YBR252W	DUT1	bifunctional dITP/dUTP diphosphatase	Deoxyuridine triphosphate diphosphatase (dUTPase); catalyzes hydrolysis of dUTP to dUMP and PPi, thereby preventing incorporation of uracil into DNA during replication; critical for the maintenance of genetic stability; also has diphosphatase activity on deoxyinosine triphosphate; human homolog DUT allows growth of yeast haploid dut1 null mutant after sporulation of heterozygous diploid	nucleobase-containing small molecule metabolic process	hydrolase activity	nucleus, cytoplasm	23392	chr2_4	-	-	
402	G	8	YBR253W	SRB6	MED22	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	transcription from RNA polymerase II promoter	molecular_function	nucleus	23393	chr2_4		met- did not mate	
402	G	9	YBR254C	TRS20	TRAPP subunit TRS20	Core component of transport protein particle (TRAPP) complexes I-III; TRAPPs are multimeric guanine nucleotide-exchange factors for GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII); mutation leads to defects in endocytic recycling, block in sporulation/meiosis; mutations in human homolog TRAPPC2 cause spondyloepiphyseal dysplasia tarda, TRAPPC2 can complement yeast null mutant	Golgi vesicle transport, protein complex biogenesis	molecular_function	cytoplasmic vesicle, endomembrane system, cytoplasm, Golgi apparatus	23394	chr2_4	-	-	
402	G	10	YBR256C	RIB5	riboflavin synthase	Riboflavin synthase; catalyzes the last step of the riboflavin biosynthesis pathway	vitamin metabolic process	transferase activity	cellular_component	23396	chr2_4	-	-	
402	G	11	YBR257W	POP4	RNase P/RNase MRP complex subunit	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; binds to the RPR1 RNA subunit in RNase P	snoRNA processing, rRNA processing, RNA catabolic process, tRNA processing	RNA binding, hydrolase activity, rRNA binding, nuclease activity	nucleus, nucleolus	23397	chr2_4	-	-	
402	G	12	YBR265W	TSC10	3-dehydrosphinganine reductase	3-ketosphinganine reductase; catalyzes the second step in phytosphingosine synthesis; essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine; localized to lipid droplets; member of short chain dehydrogenase/reductase protein family	lipid metabolic process	oxidoreductase activity	endomembrane system, mitochondrion, membrane, mitochondrial envelope, endoplasmic reticulum, cytoplasm	23405	chr2_4	-	-	
402	H	1	YBR189W	RPS9B	ribosomal 40S subunit protein S9B|rp21|YS11|S9B|S4|S13|SUP46|RPS13A	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S9 and bacterial S4; RPS9B has a paralog, RPS9A, that arose from the whole genome duplication	regulation of translation, rRNA processing, translational elongation, ribosomal small subunit biogenesis	structural constituent of ribosome, structural molecule activity	ribosome, cytoplasm	23329	chr2_4	-	-	
402	H	2	YBR191W	RPL21A	eL21|ribosomal 60S subunit protein L21A|L21e|L21A|URP1	Ribosomal 60S subunit protein L21A; homologous to mammalian ribosomal protein L21, no bacterial homolog; RPL21A has a paralog, RPL21B, that arose from the whole genome duplication	cytoplasmic translation	structural molecule activity, structural constituent of ribosome	ribosome, cytoplasm	23331	chr2_4	-	-	
402	H	3	YDR052C	DBF4	protein serine/threonine kinase activating protein DBF4|DNA52|LSD7	Regulatory subunit of Cdc7p-Dbf4p kinase complex; required for Cdc7p kinase activity and initiation of DNA replication; phosphorylates the Mcm2-7 family of proteins; cell cycle regulated; relative distribution to the nucleus increases upon DNA replication stress; co-expression of human CDC7 and DBF4 complements single cdc7 or dbf4 null mutations or the cdc7 dbf4 double null mutation	mitotic cell cycle, meiotic cell cycle, protein phosphorylation, organelle fission, DNA replication, regulation of organelle organization, regulation of protein modification process, regulation of cell cycle	enzyme regulator activity, DNA binding	nucleus, chromosome, cytoplasm	23988	chr4_4	-	-	
402	H	4	YDR053W	-	-	Putative protein of unknown function; open reading frame overlaps 5' end of essential DBF4 gene encoding the regulatory subunit of the Cdc7p-Dbf4p kinase complex	biological_process	molecular_function	membrane	23989	chr4_4	-	-	
402	H	6	YDR054C	CDC34	SCF E2 ubiquitin-protein ligase catalytic subunit CDC34|UBC3|DNA6	Ubiquitin-conjugating enzyme (E2); catalytic subunit of SCF ubiquitin-protein ligase complex (together with Skp1p, Rbx1p, Cdc53p, and an F-box protein) that regulates cell cycle progression by targeting key substrates for degradation; protein abundance increases in response to DNA replication stress; human CDC34 functionally complements the thermosensitivity of the cdc34-2 mutant	mitotic cell cycle, protein modification by small protein conjugation or removal, proteolysis involved in cellular protein catabolic process	transferase activity	nucleus, cytoplasm	23990	chr4_4	-	-	
402	H	7	YDR060W	MAK21	RNA-binding ribosome biosynthesis protein MAK21|NOC1	Constituent of 66S pre-ribosomal particles; required for large (60S) ribosomal subunit biogenesis; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein	ribosome assembly, organelle assembly, ribosomal large subunit biogenesis	RNA binding, mRNA binding	nucleus	23995	chr4_4	-	-	
402	H	8	YDR062W	LCB2	serine C-palmitoyltransferase LCB2|TSC1|SCS1	Component of serine palmitoyltransferase; responsible along with Lcb1p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine	lipid metabolic process	transferase activity	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	23997	chr4_4	-	-	
402	H	9	YDR064W	RPS13	uS15|ribosomal 40S subunit protein S13|YS15|S27a|S15|S13|RPS13C|RPS13B	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S13 and bacterial S15	cytoplasmic translation, rRNA processing, ribosomal small subunit biogenesis	RNA binding, structural constituent of ribosome, rRNA binding, structural molecule activity	ribosome, cytoplasm	23999	chr4_4	-	-	
402	H	10	YDR081C	PDC2	-	Transcription factor for thiamine-regulated genes; required for expression of the two isoforms of pyruvate decarboxylase (PDC1 and PDC5) along with thiamine biosynthetic genes; binds a DNA sequence in the PDC5 promoter; mutant fails to grow on 2% glucose and thus is scored as inviable under standard conditions	carbohydrate metabolic process, cofactor metabolic process, vitamin metabolic process, generation of precursor metabolites and energy, monocarboxylic acid metabolic process, nucleobase-containing small molecule metabolic process, transcription from RNA polymerase II promoter	DNA binding	nucleus	24016	chr4_4	-	-	
402	H	11	YDR082W	STN1	-	Telomere end-binding and capping protein; plays a key role with Pol12p in linking telomerase action with completion of lagging strand synthesis, and in a regulatory step required for telomere capping; similar to human Stn1	telomere organization, regulation of organelle organization, regulation of DNA metabolic process	DNA binding	nucleus, chromosome	24017	chr4_4	-	-	
402	H	12	YDR086C	SSS1	translocon subunit SSS1	Subunit of the Sec61p translocation complex (Sec61p-Sss1p-Sbh1p); this complex forms a channel for passage of secretory proteins through the endoplasmic reticulum membrane, and of the Ssh1p complex (Ssh1p-Sbh2p-Sss1p); interacts with Ost4p and Wbp1p	protein targeting, transmembrane transport	protein transporter activity, transmembrane transporter activity, structural molecule activity	endomembrane system, membrane, endoplasmic reticulum, cytoplasm	24021	chr4_4	-	-	
403	A	1	YDR087C	RRP1	-	Essential evolutionarily conserved nucleolar protein; necessary for biogenesis of 60S ribosomal subunits and for processing of pre-rRNAs to mature rRNA; associated with several distinct 66S pre-ribosomal particles	rRNA processing	molecular_function	nucleus, nucleolus	24022	chr4_4	-	-	
403	A	2	YDR088C	SLU7	mRNA splicing protein SLU7|SLT17	RNA splicing factor; required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain	RNA splicing, mRNA processing	other	nucleus	24023	chr4_4		met- did not mate	
403	A	4	YDR091C	RLI1	Fe-S cluster-binding ribosome biosynthesis protein	Essential Fe-S protein; required for ribosome biogenesis, translation initiation/termination; facilitates binding of multifactor complex (MFC) of initiation factors to small ribosomal subunit; Dom34-Hbs1 complex and Rli1p work in dissociating inactive ribosomes, thereby facilitating translation restart; forms complex with Lto1p and Yae1p; dependency on ROS-labile FeS clusters, activity in nuclear ribosomal-subunit export impaired by mild oxidative stress	translational initiation, regulation of translation, ribosomal subunit export from nucleus, ribosomal large subunit biogenesis, nuclear transport	hydrolase activity, ion binding, ATPase activity	nucleus, ribosome, cytoplasm	24026	chr4_4	-	-	
403	A	5	YDR113C	PDS1	securin	Securin; inhibits anaphase by binding separin Esp1p; blocks cyclin destruction and mitotic exit, essential for meiotic progression and mitotic cell cycle arrest; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation	mitotic cell cycle, meiotic cell cycle, DNA repair, organelle fission, regulation of organelle organization, cellular response to DNA damage stimulus, chromosome segregation, DNA recombination, regulation of cell cycle	enzyme binding	nucleus, cytoskeleton, cytoplasm	24047	chr4_4	-	-	
403	A	6	YDR118W	APC4	anaphase promoting complex subunit 4	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis; relative distribution to the nucleus increases upon DNA replication stress	protein modification by small protein conjugation or removal, proteolysis involved in cellular protein catabolic process	transferase activity	nucleus	24052	chr4_4	-	-	
