mat a
all strains contain gfp tagged protein with his3 marker													
Synced to SGD on Sat Jul  8 00:51:42 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	abundance	original localization	comments	typical to this lib	
3	M	21	YGR128C	UTP8	-	Nucleolar protein required for export of tRNAs from the nucleus; also copurifies with the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA	transcription from RNA polymerase I promoter, rRNA processing, nucleobase-containing compound transport, nuclear transport, ribosomal small subunit biogenesis	RNA binding	nucleus, nucleolus, chromosome	16800	nucleolus	-	-	
3	M	22	YLR153C	ACS2	acetate--CoA ligase ACS2	Acetyl-coA synthetase isoform; along with Acs1p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions	peptidyl-amino acid modification, protein acylation, cofactor metabolic process, chromatin organization, histone modification	ligase activity	nucleus, nucleolus, cytoplasm	225000	nucleus	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	M	23	YDR146C	SWI5	DNA-binding transcription factor SWI5	Transcription factor that recruits Mediator and Swi/Snf complexes; activates transcription of genes expressed at the M/G1 phase boundary and in G1 phase; required for expression of the HO gene controlling mating type switching; localization to nucleus occurs during G1 and appears to be regulated by phosphorylation by Cdc28p kinase; SWI5 has a paralog, ACE2, that arose from the whole genome duplication	mitotic cell cycle, organelle fission	nucleic acid binding transcription factor activity, DNA binding, transcription factor activity, protein binding	nucleus, cytoplasm	688	"cytoplasm,nucleus"	-	-	
3	M	24	YDR129C	SAC6	fimbrin|ABP67	Fimbrin, actin-bundling protein; cooperates with Scp1p in organization and maintenance of the actin cytoskeleton; phosphorylated by Cdc28p/Clb2p in metaphase on T103, to regulate conformation, and modulate actin filament binding affinity and actin cable dynamics; relocalizes from the plasma membrane to the cytoplasm upon DNA replication stress; human homologs PLS3 and LCP1 implicated in spinocerebellar ataxia type 2 (SCA2) can each complement yeast null mutant	cytoskeleton organization	protein binding, bridging, cytoskeletal protein binding	cell cortex, cytoskeleton, cellular bud, membrane, site of polarized growth, cytoplasm, plasma membrane	3510	actin	-	-	
3	N	1	YNL027W	CRZ1	DNA-binding transcription factor CRZ1|TCN1|HAL8	Transcription factor, activates transcription of stress response genes; nuclear localization is positively regulated by calcineurin-mediated dephosphorylation; rapidly localizes to the nucleus under blue light stress; can be activated in stochastic pulses of nuclear localization in response to calcium	carbohydrate metabolic process, response to chemical, ion transport, regulation of transport, cellular ion homeostasis, cell wall organization or biogenesis, transcription from RNA polymerase II promoter, signaling, response to osmotic stress	nucleic acid binding transcription factor activity, DNA binding	nucleus, cytoplasm	1160	cytoplasm	-	-	
3	N	2	YPL210C	SRP72	signal recognition particle subunit SRP72	Core component of the signal recognition particle (SRP); the SRP is a ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane	protein targeting, transmembrane transport	molecular_function	cytoplasm	11800	ER	-	-	
3	N	3	YBR216C	YBP1	-	Protein involved in cellular response to oxidative stress; required for oxidation of specific cysteine residues of transcription factor Yap1p, resulting in nuclear localization of Yap1p in response to stress; YBP1 has a paralog, YBP2, that arose from the whole genome duplication	response to chemical, response to oxidative stress	molecular_function	cytoplasm	3060	cytoplasm	-	-	
3	N	4	YDR398W	UTP5	-	Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit	transcription from RNA polymerase I promoter, rRNA processing, ribosomal small subunit biogenesis	molecular_function	nucleus, nucleolus, chromosome	33100	nucleolus	-	-	
3	N	5	YNL045W	LAP2	bifunctional aminopeptidase/epoxide hydrolase	Leucyl aminopeptidase yscIV with epoxide hydrolase activity; metalloenzyme containing one zinc atom; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; also known as leukotriene A4 hydrolase	lipid metabolic process	peptidase activity, hydrolase activity	nucleus, cytoplasm	5590	"cytoplasm,nucleus"	-	-	
3	N	6	YMR313C	TGL3	bifunctional triglyceride lipase/lysophosphatidylethanolamine acyltransferase	Bifunctional triacylglycerol lipase and LPE acyltransferase; major lipid particle-localized triacylglycerol (TAG) lipase; catalyzes acylation of lysophosphatidylethanolamine (LPE), a function which is essential for sporulation; protein level and stability of Tgl3p are markedly reduced in the absence of lipid droplets; required with Tgl4p for timely bud formation	lipid metabolic process, cell budding	transferase activity, hydrolase activity	other	3210	"punctate composite,lipid particle"	-	-	
3	N	7	YBL051C	PIN4	MDT1	Protein involved in G2/M phase progression and response to DNA damage; interacts with Rad53p; contains an RNA recognition motif, a nuclear localization signal, and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage	mitotic cell cycle, cellular response to DNA damage stimulus, regulation of cell cycle	RNA binding, mRNA binding	cytoplasm	4630	cytoplasm	-	-	
3	N	8	YDR266C	HEL2	E3 ubiquitin-protein ligase HEL2	RING finger ubiquitin ligase (E3); involved in ubiquitination and degradation of excess histones; interacts with Ubc4p and Rad53p; null mutant sensitive to hydroxyurea (HU); green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; computational analysis suggests a role as a transcription factor	chromatin organization, protein modification by small protein conjugation or removal, histone modification	transferase activity	ribosome, cytoplasm	1910	cytoplasm	-	-	
3	N	9	YEL007W	MIT1	TOS9	Transcriptional regulator of pseudohyphal growth; protein with sequence similarity to S. pombe gti1+ (gluconate transport inducer 1) and C. albicans Wor1	biological_process	molecular_function	nucleus, cytoplasm	1710	"cytoplasm,nucleus"	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	N	10	YDR390C	UBA2	E1 ubiquitin-activating protein UBA2|UAL1	Subunit of heterodimeric nuclear SUMO activating enzyme E1 with Aos1p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability	peptidyl-amino acid modification, protein modification by small protein conjugation or removal	ligase activity	nucleus	18800	nucleus	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	N	11	YJL149W	DAS1	DUH1|SCF ubiquitin ligase complex subunit DAS1	Putative SCF ubiquitin ligase F-box protein; interacts physically with both Cdc53p and Skp1 and genetically with CDC34; similar to putative F-box protein YDR131C	proteolysis involved in cellular protein catabolic process	protein binding, bridging, transferase activity	other	-	-	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	N	12	YHR114W	BZZ1	LSB7	SH3 domain protein implicated in regulating actin polymerization; able to recruit actin polymerization machinery through its SH3 domains; colocalizes with cortical actin patches and Las17p; interacts with type I myosins	cytoskeleton organization, regulation of organelle organization, protein complex biogenesis, response to osmotic stress, endocytosis	enzyme regulator activity	cell cortex, cytoskeleton, cellular bud, membrane, site of polarized growth, cytoplasm, plasma membrane	5440	actin	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	N	13	YNL197C	WHI3	mRNA-binding protein WHI3	RNA binding protein that sequesters CLN3 mRNA in cytoplasmic foci; regulates genes involved in the cell cycle, sister chromatid cohesion, and stress response; acts as a cytoplasmic retention factor for Cdc28p and associated cyclins; regulates cell fate and dose-dependently regulates the critical cell size required for passage through Start; Tpk1p (PKA) mediated phosphorylation (S568) inhibits Whi3p function, decreasing its interaction with CLN3 mRNA; regulates ploidy	RNA catabolic process, regulation of translation, invasive growth in response to glucose limitation, pseudohyphal growth	RNA binding, mRNA binding	cytoplasm	5730	cytoplasm	-	-	
3	N	14	YKL204W	EAP1	-	eIF4E-associated protein, competes with eIF4G for binding to eIF4E; accelerates mRNA degradation by promoting decapping, facilitated by interaction with eIF4E; essential for Puf5p mediated repression; associates with Puf5p and Dhh1p; inhibits cap-dependent translation; functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade	RNA catabolic process, regulation of translation	RNA binding, mRNA binding	cytoplasm	3240	cytoplasm	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	N	15	YKR036C	CAF4	-	WD40 repeat-containing protein associated with the CCR4-NOT complex; interacts in a Ccr4p-dependent manner with Ssn2p; also interacts with Fis1p, Mdv1p and Dnm1p and plays a role in mitochondrial fission; CAF4 has a paralog, MDV1, that arose from the whole genome duplication	organelle fission, mitochondrion organization, transcription from RNA polymerase II promoter, peroxisome organization	molecular_function	mitochondrion, cytoplasm	589	mitochondrion	-	-	
3	N	16	YML046W	PRP39	-	U1 snRNP protein involved in splicing; contains multiple tetriatricopeptide repeats	RNA splicing, mRNA processing	RNA binding	nucleus	4460	nucleus	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	N	17	YKL079W	SMY1	-	Kinesin-like myosin passenger-protein; interacts with Myo2p and enhances its interaction with Sec4p during transport of secretory vesicles; controls actin cable structure and dynamics	exocytosis	hydrolase activity	cellular bud, site of polarized growth	1920	"ambiguous,cytoplasm,bud"	-	-	
3	N	18	YLR177W	-	-	Putative protein of unknown function; phosphorylated by Dbf2p-Mob1p in vitro; some strains contain microsatellite polymophisms at this locus; not an essential gene; YLR177W has a paralog, PSP1, that arose from the whole genome duplication	biological_process	molecular_function	cytoplasm	1550	cytoplasm	-	-	
3	N	19	YJR045C	SSC1	Hsp70 family ATPase SSC1|mtHSP70|ENS1	Hsp70 family ATPase; constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease; SSC1 has a paralog, ECM10, that arose from the whole genome duplication	protein targeting, mitochondrion organization, transmembrane transport, protein folding, regulation of DNA metabolic process	hydrolase activity, enzyme regulator activity, ATPase activity	mitochondrion, membrane, mitochondrial envelope, cytoplasm	-	-	-	-	
3	N	20	YHL027W	RIM101	alkaline-responsive transcriptional regulator RIM101|RIM1	Cys2His2 zinc-finger transcriptional repressor; involved in alkaline responsive gene repression as part of adaptation to alkaline conditions; involved in cell wall assembly; required for alkaline pH-stimulated haploid invasive growth and sporulation; activated by alkaline-dependent proteolytic processing which results in removal of the C-terminal tail; similar to A. nidulans PacC	mitotic cell cycle, meiotic cell cycle, response to chemical, organelle fission, sporulation, cytokinesis, cell wall organization or biogenesis, transcription from RNA polymerase II promoter, regulation of cell cycle	nucleic acid binding transcription factor activity, DNA binding	nucleus	1820	cytoplasm	-	-	
3	N	21	YML007W	YAP1	PDR4|DNA-binding transcription factor YAP1|SNQ3|PAR1	Basic leucine zipper (bZIP) transcription factor; required for oxidative stress tolerance; activated by H2O2 through the multistep formation of disulfide bonds and transit from the cytoplasm to the nucleus; Yap1p is degraded in the nucleus after the oxidative stress has passed; mediates resistance to cadmium; relative distribution to the nucleus increases upon DNA replication stress; YAP1 has a paralog, CAD1, that arose from the whole genome duplication	response to heat, response to chemical, response to oxidative stress, transcription from RNA polymerase II promoter, signaling	nucleic acid binding transcription factor activity, DNA binding	nucleus, cytoplasm	1620	"cytoplasm,nucleus"	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	N	22	YOR171C	LCB4	sphinganine kinase LCB4	Sphingoid long-chain base kinase; responsible for synthesis of long-chain base phosphates, which function as signaling molecules, regulates synthesis of ceramide from exogenous long-chain bases, localizes to the Golgi and late endosomes; LCB4 has a paralog, LCB5, that arose from the whole genome duplication	lipid metabolic process, signaling	kinase activity, transferase activity	cell cortex, endomembrane system, membrane, endoplasmic reticulum, Golgi apparatus, cytoplasm, plasma membrane	2840	ambiguous	-	-	
3	N	23	YDL109C	-	putative lipase	Putative lipase; involved in lipid metabolism; not an essential gene; YDL109C has a paralog, ROG1, that arose from the whole genome duplication	lipid metabolic process	molecular_function	cellular_component	-	-	-	-	
3	N	24	YMR278W	PRM15	PGM3|phosphoribomutase PRM15	Phosphoribomutase; catalyzes interconversion of ribose-1-phosphate and ribose-5-phosphate; has some phosphoglucomutase activity but primary activity in vivo is phosphoribomutase; contributes to ribose recycling in the pentose phosphate pathway; transcription induced in response to stress; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; non-essential	nucleobase-containing small molecule metabolic process	isomerase activity	nucleus, cytoplasm	4960	"cytoplasm,nucleus"	-	-	
3	O	1	YKL187C	FAT3	-	Protein required for fatty acid uptake; protein abundance increases in cortical patches in response to oleate exposure; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; FAT3 has a paralog, YLR413W, that arose from the whole genome duplication	lipid transport, ion transport	molecular_function	membrane, mitochondrion, cytoplasm	not visualized	ambiguous	-	-	
3	O	2	YJR134C	SGM1	-	Protein of unknown function; required for wild-type growth rate on galactose and mannose; localizes to COPI coated vesicles and the Golgi apparatus	biological_process	molecular_function	cytoplasmic vesicle, endomembrane system, cytoplasm, Golgi apparatus	300	"Golgi,early Golgi"	-	-	
3	O	3	YPR031W	NTO1	-	Subunit of the NuA3 histone acetyltransferase complex; this complex acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3	peptidyl-amino acid modification, protein acylation, chromatin organization, histone modification	histone binding	nucleus, cytoplasm	172	"cytoplasm,nucleus"	-	-	
3	O	4	YMR001C	CDC5	polo kinase CDC5|PKX2|MSD2	Polo-like kinase; controls targeting and activation of Rho1p at cell division site via Rho1p guanine nucleotide exchange factors; regulates Spc72p; also functions in adaptation to DNA damage during meiosis; regulates the shape of the nucleus and expansion of the nuclear envelope during mitosis; similar to Xenopus Plx1 and S. pombe Plo1p; human homologs PLK1, PLK3 can each complement yeast cdc5 thermosensitive mutants	mitotic cell cycle, meiotic cell cycle, organelle fission, cytoskeleton organization, DNA recombination, protein phosphorylation, regulation of organelle organization, organelle assembly, chromosome segregation, regulation of cell cycle, nucleus organization	kinase activity, transferase activity, enzyme regulator activity, DNA binding	nucleus, cytoskeleton, chromosome, cellular bud, site of polarized growth	1480	"bud neck,nucleus"	-	-	
3	O	5	YJR030C	RBH2	RBH2	Putative protein of unknown function; expression repressed in carbon limited vs carbon replete chemostat cultures; non-essential gene; contains a PH-like domain; RBH2 has a paralog, RBH1, that arose from the whole genome duplication	carbohydrate metabolic process	molecular_function	cellular_component	-	-	-	-	
3	O	6	YOR365C	-	putative flavin adenine dinucleotide transporter	Putative protein of unknown function; not an essential protein; YOR365C has a paralog, FLC2, that arose from the whole genome duplication	lipid metabolic process, biological_process	molecular_function	membrane	-	-	-	-	
3	O	7	YPR185W	ATG13	serine/threonine protein kinase regulatory subunit ATG13|APG13	Regulatory subunit of the Atg1p signaling complex; stimulates Atg1p kinase activity; required for vesicle formation during autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; contains a HORMA domain required for autophagy and for recruitment of the phosphatidylinositol 3-kinase complex subunit Atg14p to the pre-autophagosomal structure	vacuole organization, protein targeting, protein phosphorylation, mitochondrion organization, organelle assembly, regulation of protein modification process	enzyme regulator activity	membrane, cytoplasm	149	cytoplasm	-	-	
3	O	8	YDL074C	BRE1	E3 ubiquitin-protein ligase BRE1	E3 ubiquitin ligase; forms heterodimer with Rad6p to regulate K63 polyubiquitination in response to oxidative stress and to monoubiquinate histone H2B-K123, which is required for the subsequent methylation of histone H3-K4 and H3-K79; required for DSBR, transcription, silencing, and checkpoint control; interacts with RNA-binding protein Npl3p, linking histone ubiquitination to mRNA processing; Bre1p-dependent histone ubiquitination promotes pre-mRNA splicing	mitotic cell cycle, meiotic cell cycle, organelle fission, chromatin organization, DNA replication, DNA recombination, transcription from RNA polymerase II promoter, DNA repair, telomere organization, cellular response to DNA damage stimulus, histone modification, protein modification by small protein conjugation or removal, regulation of DNA metabolic process, regulation of cell cycle	transferase activity, DNA binding	nucleus, chromosome	2980	nucleus	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	O	9	YIL078W	THS1	threonine--tRNA ligase THS1	Threonyl-tRNA synthetase; essential cytoplasmic protein; human homolog TARS can complement yeast null mutant	tRNA aminoacylation for protein translation, cellular amino acid metabolic process	ligase activity	mitochondrion, cytoplasm	42600	cytoplasm	-	-	
3	O	10	YPL116W	HOS3	histone deacetylase	Trichostatin A-insensitive homodimeric histone deacetylase (HDAC); specificity in vitro for histones H3, H4, H2A, and H2B; similar to Hda1p, Rpd3p, Hos1p, and Hos2p; deletion results in increased histone acetylation at rDNA repeats	mitotic cell cycle, chromatin organization, histone modification, transcription from RNA polymerase II promoter	hydrolase activity	nucleus, cellular bud, membrane, site of polarized growth, cytoplasm	4420	bud neck	-	-	
3	O	11	YBR238C	-	-	Mitochondrial membrane protein; not required for respiratory growth but causes a synthetic respiratory defect in combination with rmd9 mutations; transcriptionally up-regulated by TOR; deletion increases life span; YBR238C has a paralog, RMD9, that arose from the whole genome duplication	generation of precursor metabolites and energy, cellular respiration	RNA binding, mRNA binding	mitochondrion, membrane, mitochondrial envelope, cytoplasm	2080	"cytoplasm,mitochondrion"	-	-	
3	O	12	YBR169C	SSE2	adenyl-nucleotide exchange factor SSE2	Member of Hsp110 subclass of the heat shock protein 70 (HSP70) family; serves as nucleotide exchange factor to load ATP onto the SSA class of cytosolic Hsp70s; may be involved in protein folding; localized to the cytoplasm; SSE2 has a paralog, SSE1, that arose from the whole genome duplication	protein folding	enzyme regulator activity	cytoplasm	6300	cytoplasm	-	-	
3	O	13	YJR119C	JHD2	histone demethylase|KDM5	JmjC domain family histone demethylase; promotes global demethylation of H3K4 and repression of noncoding intergenic transcription during sporulation; removes methyl groups added by Set1p methyltransferase; negatively regulated by H3K14 acetylation; protein levels regulated by Not4p polyubiquitin-mediated degradation; regulates sporulation timing by extending period of active transcription in opposition to programmed global transcriptional quiescence; regulates rDNA silencing	RNA catabolic process, chromatin organization, regulation of organelle organization, transcription from RNA polymerase II promoter, histone modification	oxidoreductase activity	nucleus, cytoplasm	290	"cytoplasm,nucleus"	-	-	
3	O	14	YOR354C	MSC6	-	Multicopy suppressor of HER2 involved in mitochondrial translation; mutant is defective in directing meiotic recombination events to homologous chromatids	meiotic cell cycle, organelle fission, DNA recombination	RNA binding, mRNA binding	mitochondrion, cytoplasm	7250	mitochondrion	-	-	
3	O	15	YGL245W	GUS1	glutamate--tRNA ligase GUS1|GluRS|GSN1	Glutamyl-tRNA synthetase (GluRS); forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p; complex formation increases the catalytic efficiency of both tRNA synthetases and ensures their correct localization to the cytoplasm; protein abundance increases in response to DNA replication stress	tRNA aminoacylation for protein translation, cellular amino acid metabolic process	RNA binding, mRNA binding, ligase activity	mitochondrion, cytoplasm	48700	cytoplasm	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	O	16	YER077C	MRX1	-	Protein that associates with mitochondrial ribosome; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; null mutation results in a decrease in plasma membrane electron transport	biological_process	molecular_function	mitochondrion, cytoplasm	432	mitochondrion	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	O	17	YMR192W	GYL1	APP2	Putative GTPase activating protein (GAP) with a role in exocytosis; stimulates Gyp5p GAP activity on Ypt1p, colocalizes with Gyp5p at sites of polarized growth; interacts with Gyp5p, Rvs161p, and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; increases in abundance and relocalizes from bud neck to cytoplasm upon DNA replication stress; GYL1 has a paralog, GYP5, that arose from the whole genome duplication	regulation of transport, Golgi vesicle transport, exocytosis	other	cytoplasmic vesicle, endomembrane system, mitochondrion, cellular bud, membrane, site of polarized growth, Golgi apparatus, cytoplasm, plasma membrane	2010	"ambiguous,bud neck,cytoplasm,bud"	-	-	
3	O	18	YER022W	SRB4	MED17	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for basal RNA polymerase II transcription; homozygosity of the human MED17 L371P mutation is associated with infantile cerebral and cerebellar atrophy with poor myelination	DNA-templated transcription, initiation, transcription from RNA polymerase II promoter	DNA binding, transcription factor activity, protein binding, transcription factor binding	nucleus	3650	nucleus	-	-	
3	O	19	YOR022C	DDL1	putative carboxylic ester hydrolase	DDHD domain-containing phospholipase A1; mitochondrial matrix enzyme with sn-1-specific activity, hydrolyzing cardiolipin, PE, PC, PG and PA; implicated in remodeling of mitochondrial phospholipids; antagonistically regulated by Aft1p and Aft2p; in humans, mutations in DDHD1 and DDHD2 genes cause specific types of hereditary spastic paraplegia, while DDL1-defective yeast share similar phenotypes such as mitochondrial dysfunction and defects in lipid metabolism	lipid metabolic process	hydrolase activity	mitochondrion, cytoplasm	736	mitochondrion	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	O	20	YGL144C	ROG1	putative lipase ROG1	Lipase with specificity for monoacylglycerol; preferred substrate is 1-oleoylglycerol; null mutation affects lipid droplet morphology and overexpression causes increased accumulation of reactive oxygen species	lipid metabolic process	hydrolase activity	nucleus, cytoplasm	-	-	-	-	
3	O	21	YHL024W	RIM4	-	Putative RNA-binding protein; required for the expression of early and middle sporulation genes	meiotic cell cycle, organelle fission, DNA replication, sporulation, DNA recombination	RNA binding	cytoplasm	-	-	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	O	22	YLR403W	SFP1	zinc-coordinating transcription factor SFP1|[ISP+]|[ISP(+)]	Regulates transcription of ribosomal protein and biogenesis genes; regulates response to nutrients and stress, G2/M transitions during mitotic cell cycle and DNA-damage response, and modulates cell size; regulated by TORC1 and Mrs6p; sequence of zinc finger, ChIP localization data, and protein-binding microarray (PBM) data, and computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p at others; can form the [ISP+] prion	transcription from RNA polymerase II promoter	transcription factor activity, protein binding	nucleus, cytoplasm	259	"cytoplasm,nucleus"	-	-	
3	O	23	YHL032C	GUT1	glycerol kinase	Glycerol kinase; converts glycerol to glycerol-3-phosphate; glucose repression of expression is mediated by Adr1p and Ino2p-Ino4p; derepression of expression on non-fermentable carbon sources is mediated by Opi1p and Rsf1p	carbohydrate metabolic process	kinase activity, transferase activity	mitochondrion, cytoplasm	not visualized	"mitochondrion,punctate composite"	-	-	
3	O	24	YGL236C	MTO1	tRNA modification protein MTO1|IPS1	Mitochondrial protein; forms heterodimer complex with Mss1p that performs 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; required for respiration in paromomycin-resistant 15S rRNA mutants; human homolog MTO1 can complement yeast null mutant	tRNA processing, mitochondrion organization, RNA modification	molecular_function	mitochondrion, cytoplasm	-	-	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	P	1	YMR061W	RNA14	cleavage polyadenylation factor subunit RNA14	Component of the cleavage and polyadenylation factor I (CF I); CF 1, composed of the CF 1A complex (Rna14p, Rna15p, Clp1p, Pcf11p) and Hrp1, is involved in cleavage and polyadenylation of mRNA 3' ends; bridges interaction between Rna15p and Hrp1p in the CF I complex; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping and maintenance of genome stability; relocalizes to the cytosol in response to hypoxia	mRNA processing	RNA binding	nucleus, mitochondrion, cytoplasm	5350	nucleus	-	-	
3	P	2	YJL106W	IME2	protein kinase IME2|SME1	Serine/threonine protein kinase involved in activation of meiosis; associates with Ime1p and mediates its stability, activates Ndt80p; IME2 expression is positively regulated by Ime1p; human CDK2 can complement ime2 null mutant	meiotic cell cycle, protein phosphorylation, organelle fission, regulation of organelle organization, regulation of cell cycle	kinase activity, transferase activity	nucleus	-	-	-	-	
3	P	3	YDR295C	HDA2	PLO2	Subunit of the HDA1 histone deacetylase complex; possibly tetrameric trichostatin A-sensitive class II histone deacetylase complex contains Hda1p homodimer and an Hda2p-Hda3p heterodimer; involved in telomere maintenance; relocalizes to the cytosol in response to hypoxia	chromatin organization, histone modification, transcription from RNA polymerase II promoter	chromatin binding, hydrolase activity, DNA binding	nucleus, chromosome, cytoplasm	1500	nucleus	-	-	
3	P	4	YHR091C	MSR1	arginine--tRNA ligase MSR1	Mitochondrial arginyl-tRNA synthetase; mutations in human ortholog are associated with pontocerebellar hypoplasia type 6; MSR1 has a paralog, YDR341C, that arose from the whole genome duplication	mitochondrial translation, tRNA aminoacylation for protein translation, mitochondrion organization, cellular amino acid metabolic process	ligase activity	mitochondrion, cytoplasm	-	-	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	P	5	YOR138C	RUP1	-	Protein that regulates ubiquitination of Rsp5p; has a WW domain consensus motif of PPPSY (residues 131-135) that mediates binding of Rsp5p to Ubp2p; contains an UBA domain; relative distribution to the nucleus increases upon DNA replication stress	regulation of protein modification process, protein modification by small protein conjugation or removal	other	nucleus, cytoplasm	5930	"cytoplasm,nucleus"	-	-	
3	P	6	YGL060W	YBP2	YBH1	Central kinetochore associated protein; mediates mitotic progression; interacts with several central kinetochore proteins and centromeric histone Cse4p; role in resistance to oxidative stress; similar to Slk19p; YBP2 has a paralog, YBP1, that arose from the whole genome duplication	mitotic cell cycle, organelle fission, cytoskeleton organization	molecular_function	nucleus, chromosome, cytoplasm	3870	cytoplasm	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	P	7	YDR320C	SWA2	BUD24|AUX1	Auxilin-like protein involved in vesicular transport; clathrin-binding protein required for uncoating of clathrin-coated vesicles	organelle inheritance	ubiquitin-like protein binding	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	768	ambiguous	-	-	
3	P	8	YJR130C	STR2	cystathionine gamma-synthase	Cystathionine gamma-synthase, converts cysteine into cystathionine; STR2 has a paralog, YML082W, that arose from the whole genome duplication	cellular amino acid metabolic process	transferase activity	nucleus, cytoplasm	2070	"cytoplasm,nucleus"	-	-	
3	P	9	YJL010C	NOP9	RNA-binding RNA processing protein NOP9	Essential subunit of U3-containing 90S preribosome; involved in production of 18S rRNA and assembly of small ribosomal subunit; also part of pre-40S ribosome and required for its export into cytoplasm; binds RNA and contains pumilio domain	rRNA processing, ribosomal subunit export from nucleus, ribosomal small subunit biogenesis, nuclear transport	RNA binding, mRNA binding	nucleus, nucleolus	2930	"nucleolus,nucleus"	-	-	
3	P	10	YHR218W	-	-	Helicase-like protein encoded within the telomeric Y' element	biological_process	molecular_function	cellular_component	-	-	-	-	
3	P	11	YLR002C	NOC3	-	Subunit of a nuclear complex with Noc2p and pre-replicative complexes; the Noc2p-Noc3p complex binds to 66S ribosomal precursors to mediate their maturation and intranuclear transport; binds to chromatin at active replication origins, and is required for pre-RC formation and maintenance during DNA replication licensing	DNA replication, rRNA processing	chromatin binding	nucleus, nucleolus	11700	"nucleolus,nucleus"	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	P	12	YIL092W	-	-	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus	biological_process	molecular_function	nucleus, cytoplasm	105	"cytoplasm,nucleus"	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
3	P	13	YNR008W	LRO1	phospholipid:diacylglycerol acyltransferase	Acyltransferase that catalyzes diacylglycerol esterification; one of several acyltransferases that contribute to triglyceride synthesis; Lro1p and Dga1p can O-acylate ceramides; putative homolog of human lecithin cholesterol acyltransferase	lipid metabolic process	transferase activity	endomembrane system, endoplasmic reticulum, cytoplasm	-	-	-	-	
3	P	14	YLL035W	GRC3	polynucleotide 5'-hydroxyl-kinase	Polynucleotide kinase present on rDNA; required for efficient transcription termination by RNA polymerase I; functions with Las1p in a conserved mechanism to modulate rRNA processing and ribosome biogenesis; required for cell growth; mRNA is cell-cycle regulated	transcription from RNA polymerase I promoter, rRNA processing, ribosomal large subunit biogenesis, DNA-templated transcription, termination	kinase activity, transferase activity	nucleus, nucleolus, chromosome	-	-	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
