Synced to SGD on Sat Jul  8 00:51:38 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	original p	original r 	original c	
1	P	13	YBL020W	RFT1	glycolipid translocation protein	Membrane protein required for translocation of Man5GlcNac2-PP-Dol; required for translocation of Man5GlcNac2-PP-Dol from the cytoplasmic side to the lumenal side of the ER membrane but is not the flippase; mutation is suppressed by expression of human p53 protein; essential gene	lipid transport	molecular_function	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	2	H	7	-	
1	P	14	YKL059C	MPE1	cleavage polyadenylation factor subunit MPE1	Essential conserved subunit of CPF cleavage and polyadenylation factor; plays a role in 3' end formation of mRNA via the specific cleavage and polyadenylation of pre-mRNA; contains a ubiquitin-like (UBL) domain, a RNA-binding zinc knuckle motif and a RING finger domain; both the zinc knuckle and RING finger are required for pre-mRNA binding; possible role in ubiquitination of Pap1p; relocalizes to the cytosol in response to hypoxia	protein modification by small protein conjugation or removal, mRNA processing	RNA binding	nucleus, cytoplasm	1	H	7	-	
1	P	15	YBL023C	MCM2	MCM DNA helicase complex subunit MCM2	Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; relative distribution to the nucleus increases upon DNA replication stress	DNA repair, DNA replication, regulation of organelle organization, cellular response to DNA damage stimulus, DNA recombination	chromatin binding, hydrolase activity, DNA binding, ATPase activity, helicase activity	nucleus, chromosome, cytoplasm	2	H	8	-	
1	P	16	YKL125W	RRN3	rDNA-binding RNA polymerase I transcriptional factor	Protein required for transcription of rDNA by RNA polymerase I; transcription factor independent of DNA template; involved in recruitment of RNA polymerase I to rDNA; structure reveals unique HEAT repeat fold and a surface serine patch; phosphorylation of serine patch impairs cell growth and reduces RNA polymerase I binding in vitro and RNA polymerase I recruitment to the rDNA gene in vivo	transcription from RNA polymerase I promoter, DNA-templated transcription, initiation	enzyme binding, DNA binding, transcription factor activity, protein binding, transcription factor binding	nucleus, nucleolus	1	H	8	-	
1	P	17	YBL030C	PET9	ADP/ATP carrier protein PET9|OP1|ANC2|AAC2	Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant	transmembrane transport, ion transport, nucleobase-containing compound transport, generation of precursor metabolites and energy, cellular respiration	transmembrane transporter activity	mitochondrion, membrane, mitochondrial envelope, cytoplasm	2	H	9	-	
1	P	18	YKL165C	MCD4	mannose-ethanolamine phosphotransferase MCD4|FSR2|SSU21|ZRG16	Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol	ion transport, nucleobase-containing compound transport, lipid metabolic process, protein lipidation	transferase activity	endomembrane system, vacuole, cell wall, membrane, endoplasmic reticulum, cytoplasm	1	H	9	-	
1	P	19	BLANK	BLANK	-	-	-	-	-	2	H	10	-	
1	P	20	YKL172W	EBP2	-	Required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering	organelle fission, rRNA processing	RNA binding, mRNA binding	nucleus, nucleolus	1	H	10	-	
1	P	21	YBL035C	POL12	DNA-directed DNA polymerase alpha subunit POL12	B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation	telomere organization, DNA replication	transferase activity, nucleotidyltransferase activity	nucleus, endomembrane system, chromosome	2	H	11	-	
1	P	22	YKL173W	SNU114	U5 snRNP GTPase SNU114|GIN10	GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2	RNA splicing, mRNA processing	RNA binding, GTPase activity, hydrolase activity	nucleus	1	H	11	-	
1	P	23	YBL040C	ERD2	-	HDEL receptor; an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins	Golgi vesicle transport	other	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	2	H	12	-	
1	P	24	YKL196C	YKT6	palmitoyltransferase YKT6	Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within the Golgi, endocytic trafficking to the vacuole, and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus; human homolog YKT6 can complement yeast ykt6 mutant	vacuole organization, organelle fusion, vesicle organization, membrane fusion, Golgi vesicle transport	transferase activity	cytoplasmic vesicle, endomembrane system, vacuole, mitochondrion, membrane, Golgi apparatus, cytoplasm	1	H	12	-	
2	A	1	YJR141W	IPA1	putative polyadenylation protein	Essential protein of unknown function	biological_process	molecular_function	cellular_component	8	A	1	-	
2	A	2	BLANK	BLANK	-	-	-	-	-	7	A	1	-	
2	A	3	YKL004W	AUR1	inositol phosphorylceramide synthase	Phosphatidylinositol:ceramide phosphoinositol transferase; required for sphingolipid synthesis; can mutate to confer aureobasidin A resistance; also known as IPC synthase	lipid metabolic process	transferase activity, transferring glycosyl groups, transferase activity	endomembrane system, membrane, endoplasmic reticulum, Golgi apparatus, cytoplasm	8	A	2	-	
2	A	4	BLANK	BLANK	-	-	-	-	-	7	A	2	-	
2	A	5	YKL012W	PRP40	-	U1 snRNP protein involved in splicing; interacts with the branchpoint-binding protein during the formation of the second commitment complex	RNA splicing, mRNA processing	RNA binding	nucleus	8	A	3	-	
2	A	6	YHR186C	KOG1	ubiquitin-binding TORC1 subunit KOG1|LAS24	Subunit of TORC1; TORC1 is a rapamycin-sensitive complex involved in growth control that contains Tor1p or Tor2p, Lst8p and Tco89p; contains four HEAT repeats and seven WD-40 repeats; may act as a scaffold protein to couple TOR and its effectors	response to starvation, signaling	ubiquitin-like protein binding	vacuole, mitochondrion, membrane, cytoplasm, plasma membrane	7	A	3	-	
2	A	7	YKL013C	ARC19	-	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; mutation is functionally complemented by human ARPC4	organelle inheritance, mitochondrion organization, cytoskeleton organization	structural molecule activity	cytoskeleton	8	A	4	-	
2	A	8	YHR188C	GPI16	GPI-anchor transamidase subunit GPI16	Subunit of the glycosylphosphatidylinositol transamidase complex; transmembrane protein; adds GPIs to newly synthesized proteins; human PIG-Tp homolog	lipid metabolic process, protein lipidation	hydrolase activity	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	7	A	4	-	
2	A	9	YKL014C	URB1	NPA1	Protein required for the normal accumulation of 25S and 5.8S rRNAs; nucleolar protein; associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 60S ribosomal subunit	rRNA processing, ribosomal large subunit biogenesis	RNA binding, mRNA binding	nucleus, nucleolus	8	A	5	-	
2	A	10	BLANK	BLANK	-	-	-	-	-	7	A	5	-	
2	A	11	YKL018W	SWD2	WD-repeat containing protein SWD2|SAF37|CPS35	Subunit of the COMPASS (Set1C) histone H3K4 methyltransferase complex; required for Set1C stability and optimal activity; COMPASS methylates histone H3 on lys 4 and is involved in telomeric silencing; subunit of CPF (cleavage and polyadenylation factor), a complex involved in RNAP II transcription termination	peptidyl-amino acid modification, telomere organization, snoRNA processing, protein alkylation, chromatin organization, histone modification, DNA-templated transcription, termination, mRNA processing, transcription from RNA polymerase II promoter	transferase activity, methyltransferase activity	nucleus	8	A	6	-	
2	A	12	YHR197W	RIX1	IPI2	Component of the Rix1 complex and possibly pre-replicative complexes; required for processing of ITS2 sequences from 35S pre-rRNA; component of the pre-60S ribosomal particle with the dynein-related AAA-type ATPase Mdn1p; required for pre-replicative complex (pre-RC) formation and maintenance during DNA replication licensing; relocalizes to the cytosol in response to hypoxia; essential gene	DNA replication, rRNA processing, organelle assembly, ribosomal subunit export from nucleus, ribosomal large subunit biogenesis, ribosome assembly, regulation of DNA metabolic process, nuclear transport	chromatin binding	nucleus, cytoplasm	7	A	6	-	
2	A	13	YKL019W	RAM2	bifunctional protein farnesyltransferase/protein geranylgeranyltransferase	Alpha subunit of farnesyltransferase and geranylgeranyltransferase-I; farnesyltransferase (Ram2p-Ram1p heterodimer) catalyzes the addition of 15-carbon isoprenoid farnesyl to substrate proteins containing a CAAX consensus motif; type I geranylgeranyltransferase (Ram2p-Cdc43p heterodimer) catalyzes the addition of the 20-carbon isoprenoid geranylgeranyl to substrate proteins containing a CaaL consensus motif; required for membrane localization of Ras proteins and a-factor	protein maturation	transferase activity	cytoplasm	8	A	7	-	
2	A	14	YIL003W	CFD1	iron-sulfur cluster assembly protein CFD1|DRE3	Highly conserved iron-sulfur cluster binding protein; localized in the cytoplasm; forms a complex with Nbp35p that is involved in iron-sulfur protein assembly in the cytosol	cofactor metabolic process, tRNA processing, RNA modification	ATPase activity, hydrolase activity	cytoplasm	7	A	7	-	
2	A	15	YKL021C	MAK11	-	Protein involved in an early step of 60S ribosomal subunit biogenesis; essential for cell growth and replication of killer M1 dsRNA virus; contains four beta-transducin repeats	ribosome assembly, rRNA processing, organelle assembly, ribosomal large subunit biogenesis	molecular_function	membrane	8	A	8	-	
2	A	16	YIL019W	FAF1	-	Protein required for pre-rRNA processing; also required for 40S ribosomal subunit assembly	rRNA processing, ribosomal small subunit biogenesis	molecular_function	nucleus, nucleolus, cytoplasm	7	A	8	-	
2	A	17	YKL022C	CDC16	anaphase promoting complex subunit CDC16	Subunit of the anaphase-promoting complex/cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; required for sporulation; relocalizes to the cytosol in response to hypoxia	DNA replication, protein modification by small protein conjugation or removal, regulation of DNA metabolic process, proteolysis involved in cellular protein catabolic process	transferase activity	nucleus, cytoplasm	8	A	9	-	
2	A	18	BLANK	BLANK	-	-	-	-	-	7	A	9	-	
2	A	19	BLANK	BLANK	-	-	-	-	-	8	A	10	-	
2	A	20	BLANK	BLANK	-	-	-	-	-	7	A	10	-	
2	A	21	YKL028W	TFA1	transcription factor TFIIE subunit TFA1	TFIIE large subunit; involved in recruitment of RNA polymerase II to the promoter, activation of TFIIH, and promoter opening	DNA-templated transcription, initiation, transcription from RNA polymerase II promoter	enzyme binding, DNA binding, transcription factor binding	nucleus, mitochondrion, cytoplasm	8	A	11	-	
2	A	22	BLANK	BLANK	-	-	-	-	-	7	A	11	-	
2	A	23	YKL033W	TTI1	FMP47	Subunit of the ASTRA complex, involved in chromatin remodeling; telomere length regulator involved in the stability or biogenesis of PIKKs such as TORC1; similar to S. pombe Tti1p; detected in highly purified mitochondria in high-throughput studies	biological_process	molecular_function	nucleus, chromosome, mitochondrion, cytoplasm	8	A	12	-	
2	A	24	BLANK	BLANK	-	-	-	-	-	7	A	12	-	
2	B	1	YGL097W	SRM1	Ran guanyl-nucleotide exchange factor|TSM437|PRP20|MTR1	Nucleotide exchange factor for Gsp1p; localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p; human homolog of the RAN GEF, RCC1, can complement a temperature sensitive point mutant	ribosomal subunit export from nucleus, nucleobase-containing compound transport, nuclear transport	guanyl-nucleotide exchange factor activity, signal transducer activity	nucleus, chromosome, membrane	6	A	1	-	
2	B	2	YDR365C	ESF1	-	Nucleolar protein involved in pre-rRNA processing; depletion causes severely decreased 18S rRNA levels	rRNA processing	RNA binding	nucleus, nucleolus	5	A	1	-	
2	B	3	YGL102C	-	-	Dubious open reading frame unlikely to encode a functional protein; overlaps 3' end of essential RPL28 gene encoding a large subunit ribosomal protein	biological_process	molecular_function	cellular_component	6	A	2	-	
2	B	4	YDR367W	KEI1	-	Component of inositol phosphorylceramide (IPC) synthase; forms a complex with Aur1p and regulates its activity; required for IPC synthase complex localization to the Golgi; post-translationally processed by Kex2p; KEI1 is an essential gene	lipid metabolic process	enzyme regulator activity	membrane, endomembrane system, cytoplasm, Golgi apparatus	5	A	2	-	
2	B	5	YGL103W	RPL28	uL15|ribosomal 60S subunit protein L28|L15|rp44|YL24|L29|L28|CYH2	Ribosomal 60S subunit protein L28; homologous to mammalian ribosomal protein L27A and bacterial L15; may have peptidyl transferase activity; can mutate to cycloheximide resistance	cytoplasmic translation	RNA binding, structural molecule activity, structural constituent of ribosome	nucleus, ribosome, cytoplasm	6	A	3	-	
2	B	6	YDR373W	FRQ1	frequenin	N-myristoylated calcium-binding protein; may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily; human NCS1 functionally complements the heat sensitivity of a frq1 ts mutant	signaling	ion binding, enzyme regulator activity	membrane, endomembrane system, cytoplasm, Golgi apparatus	5	A	3	-	
2	B	7	YGL111W	NSA1	ribosome biosynthesis protein NSA1	Constituent of 66S pre-ribosomal particles; involved in 60S ribosomal subunit biogenesis	ribosomal large subunit biogenesis	molecular_function	nucleus, nucleolus	6	A	4	-	
2	B	8	YDR376W	ARH1	NADPH-adrenodoxin reductase	Oxidoreductase of the mitochondrial inner membrane; involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability	cofactor metabolic process, cellular ion homeostasis	oxidoreductase activity	membrane, mitochondrial envelope, mitochondrion, cytoplasm	5	A	4	-	
2	B	9	YGL113W	SLD3	-	Protein involved in the initiation of DNA replication; required for proper assembly of replication proteins at the origins of replication; interacts with Cdc45p; localizes to nuclear foci that become diffuse upon DNA replication stress; homologous to the human Treslin/Ticrr protein	DNA repair, DNA replication, DNA recombination, cellular response to DNA damage stimulus	chromatin binding	nucleus, chromosome	6	A	5	-	
2	B	10	YDR381W	YRA1	RNA-binding protein YRA1|SHE11	Nuclear polyadenylated RNA-binding protein; required for export of poly(A)+ mRNA from the nucleus; proposed to couple mRNA export with 3' end processing via its interactions with Mex67p and Pcf11p; interacts with DBP2; inhibits the helicase activity of Dbp2; functionally redundant with Yra2p, another REF family member	DNA repair, cellular response to DNA damage stimulus, nucleobase-containing compound transport, nuclear transport	RNA binding, enzyme regulator activity	nucleus	5	A	5	-	
2	B	11	YGL116W	CDC20	ubiquitin-protein transferase activating protein CDC20|PAC5	Activator of anaphase-promoting complex/cyclosome (APC/C); APC/C is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; cell-cycle regulated; potential Cdc28p substrate; relative distribution to the nucleus increases upon DNA replication stress	mitotic cell cycle, meiotic cell cycle, organelle fission, regulation of organelle organization, proteolysis involved in cellular protein catabolic process, chromosome segregation, regulation of protein modification process, protein modification by small protein conjugation or removal, regulation of cell cycle	enzyme regulator activity	nucleus, cytoplasm	6	A	6	-	
2	B	12	YDR390C	UBA2	E1 ubiquitin-activating protein UBA2|UAL1	Subunit of heterodimeric nuclear SUMO activating enzyme E1 with Aos1p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability	peptidyl-amino acid modification, protein modification by small protein conjugation or removal	ligase activity	nucleus	5	A	6	-	
2	B	13	BLANK	BLANK	-	-	-	-	-	6	A	7	-	
2	B	14	YDR396W	-	-	Dubious open reading frame unlikely to encode a functional protein; extensively overlaps essential NCB2 gene encoding the beta subunit of the NC2 dimeric histone-fold complex	biological_process	molecular_function	cellular_component	5	A	7	-	
2	B	15	YGL123W	RPS2	uS5|ribosomal 40S subunit protein S2|rp12|Ys5|S5|S4|S2|SUP138|SUP44|SUP38|RPS4	Protein component of the small (40S) subunit; essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; methylated on one or more arginine residues by Hmt1p; homologous to mammalian ribosomal protein S2 and bacterial S5	regulation of translation, translational elongation, nucleobase-containing compound transport, nuclear transport	RNA binding, structural constituent of ribosome, rRNA binding, structural molecule activity	ribosome, cytoplasm	6	A	8	-	
2	B	16	YDR397C	NCB2	negative cofactor 2 transcription regulator complex subunit NCB2|YDR1	Subunit of a heterodimeric NC2 transcription regulator complex; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2beta; complex also includes Bur6p	response to heat, DNA-templated transcription, initiation, transcription from RNA polymerase III promoter, transcription from RNA polymerase II promoter, protein complex biogenesis	chromatin binding, DNA binding, transcription factor activity, protein binding	nucleus	5	A	8	-	
2	B	17	YGL128C	CWC23	U2-type spliceosomal complex subunit CWC23	Component of a complex containing Cef1p; putatively involved in pre-mRNA splicing; has similarity to E. coli DnaJ and other DnaJ-like proteins and to S. pombe Cwf23p	RNA splicing, mRNA processing	molecular_function	nucleus	6	A	9	-	
2	B	18	YDR398W	UTP5	-	Subunit of U3-containing Small Subunit (SSU) processome complex; involved in production of 18S rRNA and assembly of small ribosomal subunit	transcription from RNA polymerase I promoter, rRNA processing, ribosomal small subunit biogenesis	molecular_function	nucleus, nucleolus, chromosome	5	A	9	-	
2	B	19	YGL130W	CEG1	mRNA guanylyltransferase 	Guanylyltransferase involved in mRNA 5' capping; subunit of mRNA capping enzyme, which is a heterotetramer composed of two molecules of Ceg1p and a homodimer of Cet1p, the mRNA 5'-triphosphatase subunit; nuclear import of Ceg1p requires interaction with Cet1p; mammalian capping enzyme is a single bifunctional polypeptide; human homolog RNGTT can complement yeast ceg1 null mutant	tRNA processing, mRNA processing, transcription from RNA polymerase II promoter	transferase activity, nucleotidyltransferase activity	nucleus	6	A	10	-	
2	B	20	BLANK	BLANK	-	-	-	-	-	5	A	10	-	
2	B	21	YGL137W	SEC27	coatomer subunit beta'	Essential beta'-coat protein of the COPI coatomer; involved in ER-to-Golgi and Golgi-to-ER transport; contains WD40 domains that mediate cargo selective interactions; 45% sequence identity to mammalian beta'-COP	Golgi vesicle transport, endosomal transport	ubiquitin-like protein binding	cytoplasmic vesicle, endomembrane system, membrane, Golgi apparatus, cytoplasm	6	A	11	-	
2	B	22	YDR407C	TRS120	-	Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating intra-Golgi and endosome-Golgi traffic	Golgi vesicle transport, endosomal transport	guanyl-nucleotide exchange factor activity	cytoplasmic vesicle, endomembrane system, cytoplasm, Golgi apparatus	5	A	11	-	
2	B	23	YGL142C	GPI10	putative glycosylphosphatidylinositol-alpha 1,2 mannosyltransferase	Integral membrane protein involved in GPI anchor synthesis; putative alpha 1,2 mannosyltransferase required for addition of the third mannose onto the glycosylphosphatidylinositol (GPI) core structure; human PIG-Bp is a functional homolog	lipid metabolic process, protein lipidation	transferase activity, transferring glycosyl groups, transferase activity	membrane	6	A	12	-	
2	B	24	YDR412W	RRP17	-	Component of the pre-60S pre-ribosomal particle; required for cell viability under standard (aerobic) conditions but not under anaerobic conditions; exonuclease required for 5' end processing of pre-60S ribosomal RNA	rRNA processing	molecular_function	cytoplasm	5	A	12	-	
2	C	1	YKL035W	UGP1	UTP glucose-1-phosphate uridylyltransferase	UDP-glucose pyrophosphorylase (UGPase); catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p; involved in PKA-mediated oxidative stress resistance and long-term survival in stationary phase; UGP1 has a paralog, YHL012W, that arose from the whole genome duplication	carbohydrate metabolic process, generation of precursor metabolites and energy, oligosaccharide metabolic process	transferase activity, nucleotidyltransferase activity	membrane, cytoplasm, plasma membrane	8	B	1	-	
2	C	2	YIL051C	MMF1	isoleucine biosynthesis protein MMF1|IBM1	Mitochondrial protein required for transamination of isoleucine; but not of valine or leucine; may regulate specificity of branched-chain transaminases Bat1p and Bat2p; induction of expression in response to stress is mediated by a Hog1p-regulated antisense RNA and gene looping; interacts genetically with mitochondrial ribosomal protein genes; MMF1 has a paralog, HMF1, that arose from the whole genome duplication	mitochondrial translation, mitochondrion organization, cellular amino acid metabolic process	molecular_function	mitochondrion, cytoplasm	7	B	1	-	
2	C	3	YKL036C	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; partially overlaps the essential gene UGP1 gene and uncharacterized ORF YKL037W	biological_process	molecular_function	cellular_component	8	B	2	-	
2	C	4	BLANK	BLANK	-	-	-	-	-	7	B	2	-	
2	C	5	YKL045W	PRI2	DNA primase subunit PRI2	Subunit of DNA primase; DNA primase is required for DNA synthesis and double-strand break repair	DNA repair, DNA replication, cellular response to DNA damage stimulus	transferase activity, DNA binding, nucleotidyltransferase activity	nucleus, endomembrane system, chromosome	8	B	3	-	
2	C	6	YIL062C	ARC15	-	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; has mRNA binding activity	mitochondrion organization, cytoskeleton organization, organelle inheritance	RNA binding, structural molecule activity, mRNA binding	cytoskeleton, mitochondrion, membrane, mitochondrial envelope, cytoplasm	7	B	3	-	
2	C	7	YKL049C	CSE4	centromeric DNA-binding histone H3-like protein CSE4|CSL2	Histone H3-like centromere protein; associated with promoters, accessible chromatin, RNAPII-bound regions; phosphorylated Cse4p associates with centromeres; required for proper kinetochore function; levels regulated by E3 ubiquitin ligase Psh1p; phosphorylation may destabilize defective kinetochores to promote bi-orientation; ubiquitination of N-terminus regulates proteolysis for faithful chromosome segregation; yeast CSE4 can complement mutations in human homolog CENPA	mitotic cell cycle, organelle fission, chromosome segregation	DNA binding	nucleus, chromosome	8	B	4	-	
2	C	8	YIL063C	YRB2	-	Protein of unknown function; involved in nuclear processes of the Ran-GTPase cycle; involved in nuclear protein export; contains Ran Binding Domain and FxFG repeats; interacts with Srm1p, GTP-Gsp1p, Rna1p and Crm1p; relocalizes to the cytosol in response to hypoxia; not essential for viability	chromatin organization, ribosomal subunit export from nucleus, nuclear transport	molecular_function	nucleus, endomembrane system, membrane, cytoplasm	7	B	4	-	
2	C	9	YKL052C	ASK1	-	Essential subunit of the Dam1 complex (aka DASH complex); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; phosphorylated during the cell cycle by cyclin-dependent kinases; sumoylated in an Mms21p-dependent manner; protein abundance increases in response to DNA replication stress	mitotic cell cycle, organelle fission, cytoskeleton organization, regulation of organelle organization, protein complex biogenesis, chromosome segregation, regulation of cell cycle	cytoskeletal protein binding	nucleus, chromosome	8	B	5	-	
2	C	10	YIL068C	SEC6	SNARE-binding exocyst subunit SEC6	Essential 88kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane prior to SNARE-mediated fusion; anchors the assembled complex to sites of secretion; interacts with SM-like protein and SNARE regulator Sec1p and may recruit it to sites of secretion; binds to SNARE complexes binteracting with Sec9p	regulation of organelle organization, regulation of transport, organelle fusion, vesicle organization, protein complex biogenesis, Golgi vesicle transport, membrane fusion, exocytosis	other	cell cortex, cellular bud, membrane, site of polarized growth, cytoplasm	7	B	5	-	
2	C	11	YKL060C	FBA1	fructose-bisphosphate aldolase FBA1|LOT1	Fructose 1,6-bisphosphate aldolase; required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress; N-terminally propionylated in vivo	carbohydrate metabolic process, cofactor metabolic process, nucleobase-containing small molecule metabolic process, generation of precursor metabolites and energy, monocarboxylic acid metabolic process	lyase activity	mitochondrion, cytoplasm	8	B	6	-	
2	C	12	BLANK	BLANK	-	-	-	-	-	7	B	6	-	
2	C	13	YKL078W	DHR2	RNA helicase	Predominantly nucleolar DEAH-box ATP-dependent RNA helicase; required for 18S rRNA synthesis	rRNA processing, ribosomal small subunit biogenesis	helicase activity, hydrolase activity	nucleus, nucleolus	8	B	7	-	
2	C	14	YIL083C	CAB2	phosphopantothenate--cysteine ligase CAB2	Subunit of the CoA-Synthesizing Protein Complex (CoA-SPC); subunits of this complex are: Cab2p, Cab3p, Cab4p, Cab5p, Sis2p and Vhs3p; probable phosphopantothenoylcysteine synthetase (PPCS), which catalyzes the second step of coenzyme A biosynthesis from pantothenate; null mutant lethality is complemented by human homolog PPCS and by E. coli coaBC (encoding a bifunctional enzyme with PPCS activity)	cofactor metabolic process, nucleobase-containing small molecule metabolic process	ligase activity	nucleus, cytoplasm	7	B	7	-	
2	C	15	YKL082C	RRP14	ribosome biosynthesis protein RRP14	Essential protein, constituent of 66S pre-ribosomal particles; interacts with proteins involved in ribosomal biogenesis and cell polarity; member of the SURF-6 family	ribosomal large subunit biogenesis, ribosomal small subunit biogenesis	molecular_function	nucleus, nucleolus, ribosome, cytoplasm	8	B	8	-	
2	C	16	BLANK	BLANK	-	-	-	-	-	7	B	8	-	
2	C	17	YKL083W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; partially overlaps the verified essential gene RRP14	biological_process	molecular_function	membrane	8	B	9	-	
2	C	18	YIL104C	SHQ1	Hsp90 cochaperone SHQ1	Chaperone protein; required for the assembly of box H/ACA snoRNPs and thus for pre-rRNA processing; functions as an RNA mimic; forms a complex with Naf1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p; homology with known Hsp90p cochaperones; relocalizes to the cytosol in response to hypoxia	other	unfolded protein binding	nucleus, cytoplasm	7	B	9	-	
2	C	19	YKL088W	CAB3	phosphopantothenoylcysteine decarboxylase complex subunit CAB3	Subunit of PPCDC and CoA-SPC complexes involved in CoA biosynthesis; subunits of the phosphopantothenoylcysteine decarboxylase (PPCDC) complex are: Cab3p, Sis2p, Vhs3p, while the subunits of the CoA-synthesizing protein complex (CoA-SPC) are: Cab2p, Cab3p, Cab4p, and Cab5p as well as Sis2p and Vhs3p; null mutant lethality is complemented by E. coli coaBC	cofactor metabolic process, nucleobase-containing small molecule metabolic process, response to osmotic stress	lyase activity	cytoplasm	8	B	10	-	
2	C	20	BLANK	BLANK	-	-	-	-	-	7	B	10	-	
2	C	21	YKL089W	MIF2	-	Protein required for structural integrity of elongating spindles; localizes to the kinetochore; interacts with histones H2A, H2B, and H4; phosphorylated by Ipl1p; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-C and fission yeast cnp3	mitotic cell cycle, organelle fission, cytoskeleton organization, chromosome segregation	DNA binding	nucleus, chromosome	8	B	11	-	
2	C	22	YIL115C	NUP159	FG-nucleoporin NUP159|RAT7|NUP158	FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport; regulates ADP release from the ATP-dependent RNA helicase Dbp5p; forms a stable association with Nup82p, Gle2p and two other FG-nucleoporins (Nsp1p and Nup116p)	protein targeting, ribosomal subunit export from nucleus, nucleobase-containing compound transport, nuclear transport, nucleus organization	enzyme regulator activity	nucleus, endomembrane system, membrane	7	B	11	-	
2	C	23	YKL095W	YJU2	mRNA splicing protein YJU2|CWC16	Essential protein required for pre-mRNA splicing; associates transiently with the spliceosomal NTC ("nineteen complex") and acts after Prp2p to promote the first catalytic reaction of splicing	RNA splicing, mRNA processing	other	nucleus	8	B	12	-	
2	C	24	BLANK	BLANK	-	-	-	-	-	7	B	12	-	
2	D	1	YGL145W	TIP20	TIP1	Peripheral membrane protein required for COPI vesicle fusion to the ER; mediates Sey1p-independent homotypic ER fusion; prohibits back-fusion of COPII vesicles with the ER; forms a tethering complex with Sec39p and Dsl1p that interacts with ER SNAREs Sec20p and Use1p	Golgi vesicle transport	molecular_function	endomembrane system, endoplasmic reticulum, cytoplasm	6	B	1	-	
